feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_158894,Bacillota,Bacteria,SM(d36:2)+D9:(s),SM,SM,Sphingolipids,LipidSearch,Bronze,3
A15_163010,Bacillota,Bacteria,SM(d36:2)+D9:(s),SM,SM,Sphingolipids,LipidSearch,Bronze,3
A15_30546,Ascomycota,Fungi,DG(P-25:6),DG,DG,Glycerolipids,LipidSearch,Bronze,3
A15_122886,Streptophyta,Viridiplantae,DG(16:2_18:3),DG,DG,Glycerolipids,LipidSearch,Gold,4
A15_88661,Streptophyta,Viridiplantae,PG(19:4_16:0),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_172478,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_139854,Ascomycota,Fungi,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_142210,Ascomycota,Fungi,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_144578,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_138774,Ascomycota,Fungi,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_207856,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_1921,Streptophyta,Viridiplantae,PEt(O-5:0_12:1),PEt,PEt,Glycerophospholipids,LipidSearch,Bronze,3
A15_213188,Streptophyta,Viridiplantae,TG(18:2_18:1_18:2)+OO:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_111404,Streptophyta,Viridiplantae,TG(15:0_16:1),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_221139,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_179152,Pseudomonadota,Bacteria,,,,,none,Unidentified,0
A15_159189,Bacillota,Bacteria,PA(15:0_18:2),PA,PA,Glycerophospholipids,LipidSearch,Gold,4
A15_55746,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_26459,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_68009,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_188089,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_83408,Streptophyta,Viridiplantae,PG(16:1_16:3),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
A15_186367,Streptophyta,Viridiplantae,TG(9:0_16:0_20:5)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_152025,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_115201,Streptophyta,Viridiplantae,,Ceramide,Ceramide,Sphingolipids,MS2_diagnostic,Bronze,2
A15_225872,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_37245,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_34213,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_136453,Basidiomycota,Fungi,PA(36:4),PA,PA,Glycerophospholipids,LipidSearch,Bronze,3
A15_139797,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_108460,Streptophyta,Viridiplantae,TG(27:3_9:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_36182,Methanobacteriota,Archaea,,,,,none,Unidentified,0
A15_124408,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_80789,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_53460,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2
A15_94353,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
