original_header,sample_name,kingdom,phylum,class,order,family,genus,species,batch,source_phylum,ncbi_phylum,taxonomy_scope,ecological_group,taxonomy_release
sample:OE21-4-E6C6POS,OE21-4-E6C6POS,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Nocardiaceae,Rhodococcus,unclassified,batch_02_OE21-4-POS,Actinomycetota,Actinomycetota,core_candidate,Bacteria,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F16POS,OE21-4-E8F16POS,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F38POS,OE21-4-E8F38POS,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F40,OE21-4-E8F40,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F41POS,OE21-4-E8F41POS,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,Gibellulopsis nigrescens,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F42POS,OE21-4-E8F42POS,Fungi,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Warcupia,unclassified,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F44POS,OE21-4-E8F44POS,Fungi,Ascomycota,Chaetothyriomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,unclassified,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F45POS,OE21-4-E8F45POS,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,unclassified,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F48,OE21-4-E8F48,,,,,,,,batch_02_OE21-4-POS,,,excluded,,ncbi-phylum-2026-08-04-v1
sample:OE21-4-E8F51POS,OE21-4-E8F51POS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Neocucurbitaria,Neocucurbitaria cava,batch_02_OE21-4-POS,Ascomycota,Ascomycota,core_candidate,Fungi,ncbi-phylum-2026-08-04-v1
