kingdom,mean,ci_lo,ci_hi
Animalia,0.14714505443153122,0.1074919945721947,0.2516642525653043
Archaea,0.05536259403709265,0.0256396572973256,0.0688456230380046
Bacteria,0.3822156849197151,0.24507893189757685,0.477921376764776
Fungi,0.2782594450931053,0.1794025414392681,0.35346936499265114
Plantae,0.09595835348010393,0.07206971776450584,0.16593516168776415
Protozoa,0.04105886803845174,0.030536074762765483,0.08792681869724397
