mode,strict_features,annotated_pre_release,family_propagation_upgrades,archlips_rt_exclusions,release_eligible_annotated,release_gold_silver,sirius_formula_evidence,canopus_class_evidence,dreams_evidence,ms2lda_membership
POS,11371,6291,155,86,6360,1668,8004,7336,7095,10611
NEG,5697,1791,98,0,1889,512,3914,3531,5695,5466
