feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier,discovery_method,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches
NEG_51502,716.4871956210253,13.985419622572596,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.515,44731.7,0.0,1.0,1.0,91.03,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109972,1333.084672451088,15.655094068502034,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.503,44337.0,0.0,1.0,1.0,91.01,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_115000,1491.1061623979588,15.691943677762328,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.501,44280.0,0.0,1.0,1.0,91.0,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_108088,1227.8537968042629,19.894019605092428,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.464,43154.7,0.0,1.0,1.0,90.93,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_44191,673.5208575901589,19.18907243543712,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.435,42260.9,0.0,1.0,1.0,90.87,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_24480,539.1064798449859,1.66722983053058,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.413,41611.9,0.0,1.0,1.0,90.83,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_62588,772.5382204611831,11.800063968518128,2,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.411,41559.8,0.0,1.0,1.0,90.82,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_68229,798.4381304766479,16.003751300645572,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.402,41280.5,0.0,1.0,1.0,90.8,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_114712,1485.0212478542,12.776154105224688,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.4,41218.9,0.0,1.0,1.0,90.8,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109866,1328.112855412117,16.929828483733747,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.387,40846.3,0.0,1.0,1.0,90.77,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_109918,1330.123722517176,16.914602785511022,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.343,39590.3,0.0,1.0,1.0,90.69,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_63820,778.4979239819149,13.326157928244148,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.339,39462.8,0.0,1.0,1.0,90.68,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_19417,493.4635556058256,18.641181803202635,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.337,39421.4,0.0,1.0,1.0,90.67,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_113067,1445.0812817103235,16.662111055117474,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.33,39226.9,0.0,1.0,1.0,90.66,5.0,1.0,Platinum,Platinum,composite,,,,,,
NEG_75292,829.4910416595181,11.682738799165284,1,Evosea,Protozoa,5.0,0.0,1.0,1.0,1.0,5.33,39227.7,0.0,1.0,1.0,90.66,5.0,1.0,Platinum,Platinum,composite,,,,,,
