feature_id,phylum,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches,kingdom
NEG_18950,Basidiomycota,2,0.7962827374328503,0.611430377032946,0.8084292578134638,0.7857142857142857,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG",Fungi
NEG_48060,Streptophyta,2,0.7961701878373713,0.7774417700457201,0.8002526559980049,0.8333333333333333,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_45847,Streptophyta,2,0.7961560751096293,0.780885729946784,0.7987008882544127,0.8333333333333333,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_71091,Ascomycota,2,0.7960771322937927,0.64323304353629,0.9467242398370911,0.7083333333333334,"batch_02_OE21-4-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_79142,Streptophyta,3,0.7960703312210166,0.7056890089508852,0.9986646515693883,0.6388888888888888,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_78704,Streptophyta,3,0.7960066351630565,0.7054979207770048,0.9984848774804513,0.6388888888888888,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_56393,Streptophyta,2,0.7958229381966053,0.7450592418975381,0.8579564113965954,0.7777777777777778,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_19435,Ascomycota,2,0.7958075258852753,0.6137754405357551,0.6664452983523381,1.0,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_92292,Ascomycota,2,0.795687167453738,0.5953563005134388,0.9213649118923385,0.7083333333333334,"batch_02_OE21-4-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_63165,Bacillota,2,0.7955968770044197,0.6488856845230502,0.9994687800226447,0.6549707602339181,"batch_02_OE21-4-NEG,batch_06_ALL-25-2-NEG",Bacteria
NEG_40787,Streptophyta,2,0.7955520640447762,0.7432030643143939,0.8565838223011971,0.7777777777777778,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_73128,Streptophyta,2,0.7954691155558244,0.7262503924519552,0.7621765218189578,0.875,"batch_01_OE11-3-NEG,batch_03_OE23-NEG",Plantae
NEG_56095,Ascomycota,2,0.7954043999627676,0.590808799925535,0.6745275190347254,1.0,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_893,Ascomycota,2,0.7953915734325987,0.5969398632739197,0.9214668766083294,0.7083333333333334,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Fungi
NEG_84965,Streptophyta,2,0.7953764633659557,0.7453559924999299,0.8573479882044165,0.7777777777777778,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_60621,Pseudomonadota,2,0.7951202106006847,0.6275101284382083,0.7587515292713234,0.8333333333333333,"batch_05_OE25-1-NEG,batch_06_ALL-25-2-NEG",Bacteria
NEG_75149,Ascomycota,2,0.7950850081698926,0.598453403275635,0.7603607772328569,0.8333333333333333,"batch_02_OE21-4-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_831,Ascomycota,2,0.7948773592157399,0.7653089955618196,0.6327043043229588,1.0,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_45567,Bacillota,2,0.7948435290272448,0.7332334014072389,0.8937723474836734,0.7251461988304093,"batch_02_OE21-4-NEG,batch_06_ALL-25-2-NEG",Bacteria
NEG_94544,Streptophyta,2,0.7946421422109945,0.7071067811865476,0.8891185736073586,0.75,"batch_01_OE11-3-NEG,batch_03_OE23-NEG",Plantae
NEG_52061,Streptophyta,2,0.7945173824170763,0.6867554512876741,0.6428705047636206,1.0,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Plantae
NEG_82702,Streptophyta,2,0.7945119424373722,0.7071067811865476,1.0,0.6388888888888888,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG",Plantae
NEG_86359,Streptophyta,3,0.7944260272632778,0.7453559924999299,0.8652748310314409,0.7685185185185185,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_5195,Ascomycota,2,0.794423796639679,0.6915360671590092,0.6416950535450896,1.0,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_94542,Streptophyta,3,0.7944063350367601,0.5773502691896257,0.9611018296536352,0.6944444444444443,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_72159,Streptophyta,2,0.794377662475144,0.6655346745637639,0.9244716380775903,0.7222222222222222,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_47294,Streptophyta,2,0.7943020551938835,0.7071067811865476,0.9995241337499962,0.6388888888888888,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG",Plantae
NEG_102531,Streptophyta,2,0.7942765216602483,0.7066359396322999,0.9993343511800232,0.6388888888888888,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_32706,Ascomycota,2,0.7942599273099409,0.6070195940055686,0.7975051986558555,0.7916666666666667,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Fungi
NEG_59575,Ascomycota,2,0.7941820938798299,0.6750647942493482,0.872770367528066,0.75,"batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_45365,Streptophyta,2,0.7940460325160594,0.7748336765380858,0.7962255179906972,0.8333333333333333,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_17726,Ascomycota,3,0.793988194854521,0.6029565826971225,0.7433585334506323,0.8611111111111112,"batch_02_OE21-4-NEG,batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
NEG_51251,Streptophyta,2,0.7939127482894235,0.7453559924999299,0.8548774326514883,0.7777777777777778,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_98177,Streptophyta,3,0.7938895971177168,0.7062498395232593,0.9934181816932229,0.6388888888888888,"batch_01_OE11-3-NEG,batch_02_OE21-4-NEG,batch_03_OE23-NEG",Plantae
NEG_17689,Ascomycota,2,0.7937387632800943,0.7232178199199596,0.8217958617321666,0.7916666666666667,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Fungi
NEG_14760,Ascomycota,2,0.7937343211577437,0.5893090556780919,0.795834277144529,0.7916666666666667,"batch_02_OE21-4-NEG,batch_03_OE23-NEG",Fungi
NEG_64199,Ascomycota,3,0.7933750483426601,0.6789644363832231,0.6461717871999096,1.0,"batch_01_OE11-3-NEG,batch_03_OE23-NEG,batch_06_ALL-25-2-NEG",Fungi
