mode,phylum_1,phylum_2,bray_curtis
NEG,Actinomycetota,Chlorophyta,0.959936585285507
NEG,Actinomycetota,Discosea,0.962919909591578
NEG,Actinomycetota,Evosea,0.978101962754629
NEG,Actinomycetota,Heterolobosea,0.947577649933279
NEG,Actinomycetota,Methanobacteriota,0.983129438876711
NEG,Actinomycetota,Mollusca,0.960275535353883
NEG,Actinomycetota,Mucoromycota,0.913883359384203
NEG,Actinomycetota,Nematoda,0.929342135328053
NEG,Actinomycetota,Pseudomonadota,0.94612169538613
NEG,Actinomycetota,Streptophyta,0.933939555499219
NEG,Actinomycetota,Thermoproteota,0.994269626333179
NEG,Arthropoda,Ascomycota,0.846301858323618
NEG,Arthropoda,Bacillota,0.989429279582119
NEG,Arthropoda,Basidiomycota,0.875372846967131
NEG,Arthropoda,Chlorophyta,0.867866137422578
NEG,Arthropoda,Discosea,0.865758590140981
NEG,Arthropoda,Evosea,0.921790790027821
NEG,Arthropoda,Heterolobosea,0.995155822350193
NEG,Arthropoda,Methanobacteriota,0.991706736388082
NEG,Arthropoda,Mollusca,0.793187019188178
NEG,Arthropoda,Mucoromycota,0.935032906471129
NEG,Arthropoda,Nematoda,0.791545803622721
NEG,Arthropoda,Pseudomonadota,0.927558978751897
NEG,Arthropoda,Streptophyta,0.866926347122781
NEG,Arthropoda,Thermoproteota,0.997258452830405
NEG,Ascomycota,Bacillota,0.983875541764665
NEG,Ascomycota,Basidiomycota,0.725633824283114
NEG,Ascomycota,Chlorophyta,0.913753454505569
NEG,Ascomycota,Discosea,0.866645832344842
NEG,Ascomycota,Evosea,0.918369710329376
NEG,Ascomycota,Heterolobosea,0.915960966254323
NEG,Ascomycota,Methanobacteriota,0.980602512970659
NEG,Ascomycota,Mollusca,0.874130213365022
NEG,Ascomycota,Mucoromycota,0.759951903802471
NEG,Ascomycota,Nematoda,0.85789834448795
NEG,Ascomycota,Pseudomonadota,0.923082148719782
NEG,Ascomycota,Streptophyta,0.84570253404294
NEG,Ascomycota,Thermoproteota,0.994132327169392
NEG,Bacillota,Basidiomycota,0.984104130671991
NEG,Bacillota,Chlorophyta,0.989743617580017
NEG,Bacillota,Discosea,0.985309083747542
NEG,Bacillota,Evosea,0.990792785490253
NEG,Bacillota,Heterolobosea,0.996553508255987
NEG,Bacillota,Methanobacteriota,0.988135304454544
NEG,Bacillota,Mollusca,0.988084831269564
NEG,Bacillota,Mucoromycota,0.993306537757906
NEG,Bacillota,Nematoda,0.939000286191013
NEG,Bacillota,Pseudomonadota,0.953474444229797
NEG,Bacillota,Streptophyta,0.979092742695137
NEG,Bacillota,Thermoproteota,0.992139366396158
NEG,Basidiomycota,Chlorophyta,0.91002212526869
NEG,Basidiomycota,Discosea,0.928815756694327
NEG,Basidiomycota,Evosea,0.945585072945734
NEG,Basidiomycota,Heterolobosea,0.973282863149129
NEG,Basidiomycota,Methanobacteriota,0.983079592194866
NEG,Basidiomycota,Mollusca,0.868318923379976
NEG,Basidiomycota,Mucoromycota,0.881331917433462
NEG,Basidiomycota,Nematoda,0.884530003761346
NEG,Basidiomycota,Pseudomonadota,0.95889393894061
NEG,Basidiomycota,Streptophyta,0.799242941285454
NEG,Basidiomycota,Thermoproteota,0.993226484274643
NEG,Chlorophyta,Discosea,0.948981861971975
NEG,Chlorophyta,Evosea,0.969084291714989
NEG,Chlorophyta,Heterolobosea,0.995079730932748
NEG,Chlorophyta,Methanobacteriota,0.992322825137481
NEG,Chlorophyta,Mollusca,0.902804747886217
NEG,Chlorophyta,Mucoromycota,0.968608274238389
NEG,Chlorophyta,Nematoda,0.914525947134039
NEG,Chlorophyta,Pseudomonadota,0.953418413732442
NEG,Chlorophyta,Streptophyta,0.725151815886337
NEG,Chlorophyta,Thermoproteota,0.996482261085062
NEG,Discosea,Evosea,0.888889949656926
NEG,Discosea,Heterolobosea,0.945694314248688
NEG,Discosea,Methanobacteriota,0.98842399542892
NEG,Discosea,Mollusca,0.867739248670768
NEG,Discosea,Mucoromycota,0.887501336417601
NEG,Discosea,Nematoda,0.837276465031286
NEG,Discosea,Pseudomonadota,0.945121562541145
NEG,Discosea,Streptophyta,0.952524917606691
NEG,Discosea,Thermoproteota,0.997990838320074
NEG,Evosea,Heterolobosea,0.995221783012734
NEG,Evosea,Methanobacteriota,0.996816301471733
NEG,Evosea,Mollusca,0.943531229610016
NEG,Evosea,Mucoromycota,0.947234703955439
NEG,Evosea,Nematoda,0.909767587162814
NEG,Evosea,Pseudomonadota,0.927874596263071
NEG,Evosea,Streptophyta,0.957394721060228
NEG,Evosea,Thermoproteota,0.998241626582423
NEG,Heterolobosea,Methanobacteriota,0.946559182466462
NEG,Heterolobosea,Mollusca,0.994432651929918
NEG,Heterolobosea,Mucoromycota,0.792989321040105
NEG,Heterolobosea,Nematoda,0.993206363475475
NEG,Heterolobosea,Pseudomonadota,0.959292016712386
NEG,Heterolobosea,Streptophyta,0.992771125163802
NEG,Heterolobosea,Thermoproteota,0.999186567442402
NEG,Methanobacteriota,Mollusca,0.983056447729626
NEG,Methanobacteriota,Mucoromycota,0.982993585959381
NEG,Methanobacteriota,Nematoda,0.988119584146222
NEG,Methanobacteriota,Pseudomonadota,0.984793422739959
NEG,Methanobacteriota,Streptophyta,0.982157205688554
NEG,Methanobacteriota,Thermoproteota,0.913274917649811
NEG,Mollusca,Mucoromycota,0.953161860664535
NEG,Mollusca,Nematoda,0.783083651626062
NEG,Mollusca,Pseudomonadota,0.965596383184467
NEG,Mollusca,Streptophyta,0.860702660856729
NEG,Mollusca,Thermoproteota,0.993012469063435
NEG,Mucoromycota,Nematoda,0.932181591485111
NEG,Mucoromycota,Pseudomonadota,0.965596735260973
NEG,Mucoromycota,Streptophyta,0.923236458583672
NEG,Mucoromycota,Thermoproteota,0.998891604682765
NEG,Nematoda,Pseudomonadota,0.902182359935245
NEG,Nematoda,Streptophyta,0.904776609516918
NEG,Nematoda,Thermoproteota,0.993820040934734
NEG,Pseudomonadota,Streptophyta,0.939282765446612
NEG,Pseudomonadota,Thermoproteota,0.997103011229835
NEG,Streptophyta,Thermoproteota,0.990706704183381
