mode,row_phylum,column_phylum,row_group,column_group,pair_class,similarity,clipped_at_0_55
POS,Pseudomonadota,Thermoproteota,Bacteria,Archaea,Cross group,0.131465746296238,False
POS,Methanobacteriota,Thermoproteota,Archaea,Archaea,Within group,0.306490574108059,False
POS,Discosea,Thermoproteota,Protists,Archaea,Cross group,0.019059068040474,False
POS,Evosea,Thermoproteota,Protists,Archaea,Cross group,0.036787532164369,False
POS,Heterolobosea,Thermoproteota,Protists,Archaea,Cross group,0.03886813970672,False
POS,Mucoromycota,Thermoproteota,Fungi,Archaea,Cross group,0.0041061972037359,False
POS,Ascomycota,Thermoproteota,Fungi,Archaea,Cross group,0.043257609332594,False
POS,Basidiomycota,Thermoproteota,Fungi,Archaea,Cross group,0.087403245244794,False
POS,Chlorophyta,Thermoproteota,Viridiplantae,Archaea,Cross group,0.0437062364098501,False
POS,Streptophyta,Thermoproteota,Viridiplantae,Archaea,Cross group,0.126919807272042,False
POS,Arthropoda,Thermoproteota,Animalia,Archaea,Cross group,0.023697368460338,False
POS,Mollusca,Thermoproteota,Animalia,Archaea,Cross group,0.019948717487643,False
POS,Nematoda,Thermoproteota,Animalia,Archaea,Cross group,0.044091978518401,False
POS,Actinomycetota,Discosea,Bacteria,Protists,Cross group,0.041551897410913,False
POS,Bacillota,Discosea,Bacteria,Protists,Cross group,0.03088982602283,False
POS,Pseudomonadota,Discosea,Bacteria,Protists,Cross group,0.069245110758049,False
POS,Methanobacteriota,Discosea,Archaea,Protists,Cross group,0.015731235953159,False
POS,Thermoproteota,Discosea,Archaea,Protists,Cross group,0.019059068040474,False
POS,Evosea,Discosea,Protists,Protists,Within group,0.105624583620414,False
POS,Heterolobosea,Discosea,Protists,Protists,Within group,0.091372334219276,False
POS,Mucoromycota,Discosea,Fungi,Protists,Cross group,0.062878227259014,False
POS,Ascomycota,Discosea,Fungi,Protists,Cross group,0.102553363221736,False
POS,Basidiomycota,Discosea,Fungi,Protists,Cross group,0.109485948271903,False
POS,Chlorophyta,Discosea,Viridiplantae,Protists,Cross group,0.108524185790661,False
POS,Streptophyta,Discosea,Viridiplantae,Protists,Cross group,0.117541947629066,False
POS,Arthropoda,Discosea,Animalia,Protists,Cross group,0.169997760659931,False
POS,Mollusca,Discosea,Animalia,Protists,Cross group,0.127050123954817,False
POS,Nematoda,Discosea,Animalia,Protists,Cross group,0.197560450795921,False
POS,Actinomycetota,Evosea,Bacteria,Protists,Cross group,0.0617600615273221,False
POS,Bacillota,Evosea,Bacteria,Protists,Cross group,0.06898249166554,False
POS,Pseudomonadota,Evosea,Bacteria,Protists,Cross group,0.138906867647054,False
POS,Methanobacteriota,Evosea,Archaea,Protists,Cross group,0.0265859125205899,False
POS,Thermoproteota,Evosea,Archaea,Protists,Cross group,0.036787532164369,False
POS,Discosea,Evosea,Protists,Protists,Within group,0.105624583620414,False
POS,Heterolobosea,Evosea,Protists,Protists,Within group,0.247633028749257,False
POS,Mucoromycota,Evosea,Fungi,Protists,Cross group,0.038131798224031,False
POS,Ascomycota,Evosea,Fungi,Protists,Cross group,0.05252918004228,False
POS,Basidiomycota,Evosea,Fungi,Protists,Cross group,0.067172800881249,False
POS,Chlorophyta,Evosea,Viridiplantae,Protists,Cross group,0.032437783570986,False
POS,Streptophyta,Evosea,Viridiplantae,Protists,Cross group,0.06202856599395,False
POS,Arthropoda,Evosea,Animalia,Protists,Cross group,0.116983351670081,False
POS,Mollusca,Evosea,Animalia,Protists,Cross group,0.077665835966765,False
POS,Nematoda,Evosea,Animalia,Protists,Cross group,0.066573846453632,False
POS,Actinomycetota,Heterolobosea,Bacteria,Protists,Cross group,0.070067138972179,False
POS,Bacillota,Heterolobosea,Bacteria,Protists,Cross group,0.080924705500047,False
POS,Pseudomonadota,Heterolobosea,Bacteria,Protists,Cross group,0.151277342520314,False
POS,Methanobacteriota,Heterolobosea,Archaea,Protists,Cross group,0.027251395068266,False
POS,Thermoproteota,Heterolobosea,Archaea,Protists,Cross group,0.03886813970672,False
POS,Discosea,Heterolobosea,Protists,Protists,Within group,0.091372334219276,False
POS,Evosea,Heterolobosea,Protists,Protists,Within group,0.247633028749257,False
POS,Mucoromycota,Heterolobosea,Fungi,Protists,Cross group,0.014966869686072,False
POS,Ascomycota,Heterolobosea,Fungi,Protists,Cross group,0.042835966196822,False
POS,Basidiomycota,Heterolobosea,Fungi,Protists,Cross group,0.056141878451701,False
POS,Chlorophyta,Heterolobosea,Viridiplantae,Protists,Cross group,0.029086512054686,False
POS,Streptophyta,Heterolobosea,Viridiplantae,Protists,Cross group,0.0543524626259611,False
POS,Arthropoda,Heterolobosea,Animalia,Protists,Cross group,0.089891642899286,False
POS,Mollusca,Heterolobosea,Animalia,Protists,Cross group,0.0535258748824941,False
POS,Nematoda,Heterolobosea,Animalia,Protists,Cross group,0.055688711474184,False
POS,Actinomycetota,Mucoromycota,Bacteria,Fungi,Cross group,0.049371359035184,False
POS,Bacillota,Mucoromycota,Bacteria,Fungi,Cross group,0.010351483640395,False
POS,Pseudomonadota,Mucoromycota,Bacteria,Fungi,Cross group,0.016834242405547,False
POS,Methanobacteriota,Mucoromycota,Archaea,Fungi,Cross group,0.0259182933580689,False
POS,Thermoproteota,Mucoromycota,Archaea,Fungi,Cross group,0.0041061972037359,False
POS,Discosea,Mucoromycota,Protists,Fungi,Cross group,0.062878227259014,False
POS,Evosea,Mucoromycota,Protists,Fungi,Cross group,0.038131798224031,False
POS,Heterolobosea,Mucoromycota,Protists,Fungi,Cross group,0.014966869686072,False
POS,Ascomycota,Mucoromycota,Fungi,Fungi,Within group,0.198420134206549,False
POS,Basidiomycota,Mucoromycota,Fungi,Fungi,Within group,0.187881068316572,False
POS,Chlorophyta,Mucoromycota,Viridiplantae,Fungi,Cross group,0.042479231461425,False
POS,Streptophyta,Mucoromycota,Viridiplantae,Fungi,Cross group,0.10589177710068,False
POS,Arthropoda,Mucoromycota,Animalia,Fungi,Cross group,0.108303737199866,False
POS,Mollusca,Mucoromycota,Animalia,Fungi,Cross group,0.038980354738254,False
POS,Nematoda,Mucoromycota,Animalia,Fungi,Cross group,0.043292818718572,False
POS,Actinomycetota,Ascomycota,Bacteria,Fungi,Cross group,0.0941489287257899,False
POS,Bacillota,Ascomycota,Bacteria,Fungi,Cross group,0.042004204874708,False
POS,Pseudomonadota,Ascomycota,Bacteria,Fungi,Cross group,0.073031716957477,False
POS,Methanobacteriota,Ascomycota,Archaea,Fungi,Cross group,0.044582235384781,False
POS,Thermoproteota,Ascomycota,Archaea,Fungi,Cross group,0.043257609332594,False
POS,Discosea,Ascomycota,Protists,Fungi,Cross group,0.102553363221736,False
POS,Evosea,Ascomycota,Protists,Fungi,Cross group,0.05252918004228,False
POS,Heterolobosea,Ascomycota,Protists,Fungi,Cross group,0.042835966196822,False
POS,Mucoromycota,Ascomycota,Fungi,Fungi,Within group,0.198420134206549,False
POS,Basidiomycota,Ascomycota,Fungi,Fungi,Within group,0.544215751576876,False
POS,Chlorophyta,Ascomycota,Viridiplantae,Fungi,Cross group,0.096024397456889,False
POS,Streptophyta,Ascomycota,Viridiplantae,Fungi,Cross group,0.267012888970673,False
POS,Arthropoda,Ascomycota,Animalia,Fungi,Cross group,0.251117230686438,False
POS,Mollusca,Ascomycota,Animalia,Fungi,Cross group,0.14718244775351,False
POS,Nematoda,Ascomycota,Animalia,Fungi,Cross group,0.143133984573707,False
POS,Actinomycetota,Basidiomycota,Bacteria,Fungi,Cross group,0.100423585217487,False
POS,Bacillota,Basidiomycota,Bacteria,Fungi,Cross group,0.081445435239527,False
POS,Pseudomonadota,Basidiomycota,Bacteria,Fungi,Cross group,0.088657295552853,False
POS,Methanobacteriota,Basidiomycota,Archaea,Fungi,Cross group,0.071450742002989,False
POS,Thermoproteota,Basidiomycota,Archaea,Fungi,Cross group,0.087403245244794,False
POS,Discosea,Basidiomycota,Protists,Fungi,Cross group,0.109485948271903,False
POS,Evosea,Basidiomycota,Protists,Fungi,Cross group,0.067172800881249,False
POS,Heterolobosea,Basidiomycota,Protists,Fungi,Cross group,0.056141878451701,False
POS,Mucoromycota,Basidiomycota,Fungi,Fungi,Within group,0.187881068316572,False
POS,Ascomycota,Basidiomycota,Fungi,Fungi,Within group,0.544215751576876,False
POS,Chlorophyta,Basidiomycota,Viridiplantae,Fungi,Cross group,0.085416928681126,False
POS,Streptophyta,Basidiomycota,Viridiplantae,Fungi,Cross group,0.266555478121046,False
POS,Arthropoda,Basidiomycota,Animalia,Fungi,Cross group,0.220573846239712,False
POS,Mollusca,Basidiomycota,Animalia,Fungi,Cross group,0.107907594622773,False
POS,Nematoda,Basidiomycota,Animalia,Fungi,Cross group,0.116023553455892,False
POS,Actinomycetota,Chlorophyta,Bacteria,Viridiplantae,Cross group,0.033119848463299,False
POS,Bacillota,Chlorophyta,Bacteria,Viridiplantae,Cross group,0.018485585353374,False
POS,Pseudomonadota,Chlorophyta,Bacteria,Viridiplantae,Cross group,0.026749008405701,False
POS,Methanobacteriota,Chlorophyta,Archaea,Viridiplantae,Cross group,0.012379329721292,False
