mode,phylum_1,phylum_2,evolutionary_distance,lipid_distance,batch_overlap_jaccard,n_samples_mode,n_samples_phylum_1,n_samples_phylum_2,group_1,group_2,pair_class
NEG,Ascomycota,Thermoproteota,2.76066651158627,0.994132327169392,0.2,192,32,4,Fungi,Archaea,Cross group
NEG,Bacillota,Thermoproteota,1.7625358786662,0.992139366396158,0.5,192,28,4,Bacteria,Archaea,Cross group
NEG,Basidiomycota,Thermoproteota,2.75974600373846,0.993226484274643,0.333333333333333,192,11,4,Fungi,Archaea,Cross group
NEG,Chlorophyta,Thermoproteota,2.72951068160059,0.996482261085062,0.0,192,10,4,Viridiplantae,Archaea,Cross group
NEG,Discosea,Thermoproteota,2.81994661685703,0.997990838320074,0.0,192,6,4,Protists,Archaea,Cross group
NEG,Evosea,Thermoproteota,2.90778916139984,0.998241626582423,0.0,192,5,4,Protists,Archaea,Cross group
NEG,Heterolobosea,Thermoproteota,2.86259478772936,0.999186567442402,0.0,192,2,4,Protists,Archaea,Cross group
NEG,Methanobacteriota,Thermoproteota,0.921521921955401,0.913274917649811,0.333333333333333,192,17,4,Archaea,Archaea,Within group
NEG,Mollusca,Thermoproteota,2.77042486205636,0.993012469063435,0.0,192,2,4,Animalia,Archaea,Cross group
NEG,Mucoromycota,Thermoproteota,2.88428452460021,0.998891604682765,0.0,192,7,4,Fungi,Archaea,Cross group
NEG,Nematoda,Thermoproteota,3.17493113809209,0.993820040934734,0.0,192,3,4,Animalia,Archaea,Cross group
NEG,Pseudomonadota,Thermoproteota,2.05504061592115,0.997103011229835,0.0,192,8,4,Bacteria,Archaea,Cross group
NEG,Streptophyta,Thermoproteota,2.66033247084546,0.990706704183381,0.25,192,16,4,Viridiplantae,Archaea,Cross group
