mode,phylum_1,phylum_2,evolutionary_distance,lipid_distance,batch_overlap_jaccard,n_samples_mode,n_samples_phylum_1,n_samples_phylum_2,group_1,group_2,pair_class
POS,Arthropoda,Mollusca,0.691944724793245,0.776921998184337,1.0,164,11,2,Animalia,Animalia,Within group
POS,Ascomycota,Mollusca,0.515856060385857,0.85281755224649,0.0,164,27,2,Fungi,Animalia,Cross group
POS,Bacillota,Mollusca,3.39458707677837,0.971970559673736,0.0,164,25,2,Bacteria,Animalia,Cross group
POS,Basidiomycota,Mollusca,0.514935552538042,0.892092405377227,0.0,164,10,2,Fungi,Animalia,Cross group
POS,Chlorophyta,Mollusca,1.66074581859335,0.947527728384804,1.0,164,5,2,Viridiplantae,Animalia,Cross group
POS,Discosea,Mollusca,0.57513616565662,0.872949876045183,0.0,164,7,2,Protists,Animalia,Cross group
POS,Evosea,Mollusca,0.79284964419339,0.922334164033235,0.0,164,5,2,Protists,Animalia,Cross group
POS,Heterolobosea,Mollusca,1.34119527548682,0.946474125117506,0.0,164,5,2,Protists,Animalia,Cross group
POS,Methanobacteriota,Mollusca,3.01133300865746,0.978175199140011,0.0,164,16,2,Archaea,Animalia,Cross group
POS,Actinomycetota,Mucoromycota,3.5025990876342,0.950628640964816,0.5,164,15,7,Bacteria,Fungi,Cross group
POS,Arthropoda,Mucoromycota,1.06086187338381,0.891696262800134,0.0,164,11,7,Animalia,Fungi,Cross group
POS,Ascomycota,Mucoromycota,0.472863478408281,0.801579865793451,0.666666666666667,164,27,7,Fungi,Fungi,Within group
POS,Bacillota,Mucoromycota,3.50844673932222,0.989648516359605,0.0,164,25,7,Bacteria,Fungi,Cross group
POS,Basidiomycota,Mucoromycota,0.483355716341248,0.812118931683428,0.666666666666667,164,10,7,Fungi,Fungi,Within group
POS,Chlorophyta,Mucoromycota,1.7067073962608,0.957520768538575,0.0,164,5,7,Viridiplantae,Fungi,Cross group
POS,Discosea,Mucoromycota,0.575832353406478,0.937121772740986,0.333333333333333,164,7,7,Protists,Fungi,Cross group
POS,Evosea,Mucoromycota,0.906709306737243,0.961868201775969,0.0,164,5,7,Protists,Fungi,Cross group
POS,Heterolobosea,Mucoromycota,1.45505493803068,0.985033130313928,0.333333333333333,164,5,7,Protists,Fungi,Cross group
POS,Methanobacteriota,Mucoromycota,3.12519267120131,0.974081706641931,0.666666666666667,164,16,7,Archaea,Fungi,Cross group
POS,Mollusca,Mucoromycota,0.639474073399795,0.961019645261746,0.0,164,2,7,Animalia,Fungi,Cross group
POS,Actinomycetota,Nematoda,3.79324570112608,0.913717663920125,0.0,164,15,4,Bacteria,Animalia,Cross group
POS,Arthropoda,Nematoda,1.00676376999206,0.776178841401182,1.0,164,11,4,Animalia,Animalia,Within group
POS,Ascomycota,Nematoda,0.920362336421586,0.856866015426293,0.0,164,27,4,Fungi,Animalia,Cross group
POS,Bacillota,Nematoda,3.7990933528141,0.939302285215231,0.0,164,25,4,Bacteria,Animalia,Cross group
POS,Basidiomycota,Nematoda,0.919441828573771,0.883976446544108,0.0,164,10,4,Fungi,Animalia,Cross group
POS,Chlorophyta,Nematoda,2.06525209462907,0.939124581943213,1.0,164,5,4,Viridiplantae,Animalia,Cross group
POS,Discosea,Nematoda,0.979642441692349,0.802439549204079,0.0,164,7,4,Protists,Animalia,Cross group
POS,Evosea,Nematoda,1.19735592022912,0.933426153546368,0.0,164,5,4,Protists,Animalia,Cross group
POS,Heterolobosea,Nematoda,1.74570155152255,0.944311288525816,0.0,164,5,4,Protists,Animalia,Cross group
POS,Methanobacteriota,Nematoda,3.41583928469319,0.964662588789158,0.0,164,16,4,Archaea,Animalia,Cross group
POS,Mollusca,Nematoda,0.64955745224029,0.786591399157899,1.0,164,2,4,Animalia,Animalia,Within group
POS,Mucoromycota,Nematoda,1.04398034943552,0.956707181281428,0.0,164,7,4,Fungi,Animalia,Cross group
POS,Actinomycetota,Pseudomonadota,1.13634019476201,0.757673725595041,0.4,164,15,8,Bacteria,Bacteria,Within group
POS,Arthropoda,Pseudomonadota,3.55986102634779,0.934993614154951,0.0,164,11,8,Animalia,Bacteria,Cross group
POS,Ascomycota,Pseudomonadota,3.67733346356324,0.926968283042523,0.2,164,27,8,Fungi,Bacteria,Cross group
POS,Bacillota,Pseudomonadota,0.977488045945393,0.776842291050722,0.5,164,25,8,Bacteria,Bacteria,Within group
POS,Basidiomycota,Pseudomonadota,3.67641295571542,0.911342704447147,0.2,164,10,8,Fungi,Bacteria,Cross group
POS,Chlorophyta,Pseudomonadota,3.0601662733413,0.973250991594299,0.0,164,5,8,Viridiplantae,Bacteria,Cross group
POS,Discosea,Pseudomonadota,3.736613568834,0.930754889241951,0.666666666666667,164,7,8,Protists,Bacteria,Cross group
POS,Evosea,Pseudomonadota,3.8244561133768,0.861093132352946,0.333333333333333,164,5,8,Protists,Bacteria,Cross group
POS,Heterolobosea,Pseudomonadota,3.77926173970632,0.848722657479686,0.666666666666667,164,5,8,Protists,Bacteria,Cross group
POS,Methanobacteriota,Pseudomonadota,2.29594876252225,0.881131968927579,0.2,164,16,8,Archaea,Bacteria,Cross group
POS,Mollusca,Pseudomonadota,3.68709181403332,0.942593917500093,0.0,164,2,8,Animalia,Bacteria,Cross group
POS,Mucoromycota,Pseudomonadota,3.80095147657718,0.983165757594453,0.25,164,7,8,Fungi,Bacteria,Cross group
POS,Nematoda,Pseudomonadota,4.09159809006905,0.920973119752477,0.0,164,4,8,Animalia,Bacteria,Cross group
POS,Actinomycetota,Streptophyta,2.87609549040029,0.914336931201239,0.4,164,15,14,Bacteria,Viridiplantae,Cross group
POS,Arthropoda,Streptophyta,1.70895147137602,0.831896284237971,0.333333333333333,164,11,14,Animalia,Viridiplantae,Cross group
POS,Ascomycota,Streptophyta,1.33760677450411,0.732987111029327,0.5,164,27,14,Fungi,Viridiplantae,Cross group
POS,Bacillota,Streptophyta,2.83880748005138,0.908919580164811,0.2,164,25,14,Bacteria,Viridiplantae,Cross group
POS,Basidiomycota,Streptophyta,1.34188531268128,0.733444521878954,0.5,164,10,14,Fungi,Viridiplantae,Cross group
POS,Chlorophyta,Streptophyta,1.9232945095541,0.700894842486168,0.333333333333333,164,5,14,Viridiplantae,Viridiplantae,Within group
POS,Discosea,Streptophyta,1.31551112385189,0.882458052370934,0.0,164,7,14,Protists,Viridiplantae,Cross group
POS,Evosea,Streptophyta,1.66411196413736,0.93797143400605,0.0,164,5,14,Protists,Viridiplantae,Cross group
POS,Heterolobosea,Streptophyta,2.05700664174977,0.945647537374039,0.0,164,5,14,Protists,Viridiplantae,Cross group
POS,Methanobacteriota,Streptophyta,2.90124061744656,0.936987657928773,0.5,164,16,14,Archaea,Viridiplantae,Cross group
POS,Mollusca,Streptophyta,1.43089054684596,0.882670476365534,0.333333333333333,164,2,14,Animalia,Viridiplantae,Cross group
POS,Mucoromycota,Streptophyta,1.46122478751805,0.89410822289932,0.25,164,7,14,Fungi,Viridiplantae,Cross group
POS,Nematoda,Streptophyta,1.83539682288169,0.899236146325863,0.333333333333333,164,4,14,Animalia,Viridiplantae,Cross group
POS,Pseudomonadota,Streptophyta,3.03345535663715,0.922348853796154,0.0,164,8,14,Bacteria,Viridiplantae,Cross group
POS,Actinomycetota,Thermoproteota,1.75668822697818,0.819168590348207,0.25,164,15,3,Bacteria,Archaea,Cross group
POS,Arthropoda,Thermoproteota,2.83937069392104,0.976302631539662,0.0,164,11,3,Animalia,Archaea,Cross group
POS,Ascomycota,Thermoproteota,2.76066651158627,0.956742390667406,0.333333333333333,164,27,3,Fungi,Archaea,Cross group
POS,Bacillota,Thermoproteota,1.7625358786662,0.759092348964013,0.333333333333333,164,25,3,Bacteria,Archaea,Cross group
POS,Basidiomycota,Thermoproteota,2.75974600373846,0.912596754755206,0.333333333333333,164,10,3,Fungi,Archaea,Cross group
POS,Chlorophyta,Thermoproteota,2.72951068160059,0.95629376359015,0.0,164,5,3,Viridiplantae,Archaea,Cross group
POS,Discosea,Thermoproteota,2.81994661685703,0.980940931959526,0.0,164,7,3,Protists,Archaea,Cross group
POS,Evosea,Thermoproteota,2.90778916139984,0.963212467835631,0.0,164,5,3,Protists,Archaea,Cross group
POS,Heterolobosea,Thermoproteota,2.86259478772936,0.96113186029328,0.0,164,5,3,Protists,Archaea,Cross group
POS,Methanobacteriota,Thermoproteota,0.921521921955401,0.693509425891941,0.333333333333333,164,16,3,Archaea,Archaea,Within group
POS,Mollusca,Thermoproteota,2.77042486205636,0.980051282512357,0.0,164,2,3,Animalia,Archaea,Cross group
POS,Mucoromycota,Thermoproteota,2.88428452460021,0.995893802796264,0.0,164,7,3,Fungi,Archaea,Cross group
POS,Nematoda,Thermoproteota,3.17493113809209,0.955908021481599,0.0,164,4,3,Animalia,Archaea,Cross group
POS,Pseudomonadota,Thermoproteota,2.05504061592115,0.868534253703762,0.0,164,8,3,Bacteria,Archaea,Cross group
POS,Streptophyta,Thermoproteota,2.66033247084546,0.873080192727958,0.333333333333333,164,14,3,Viridiplantae,Archaea,Cross group
NEG,Actinomycetota,Arthropoda,3.31795662202839,0.960435416278946,0.0,192,19,22,Bacteria,Animalia,Cross group
NEG,Actinomycetota,Ascomycota,3.37898107462026,0.861498005831392,0.8,192,19,32,Bacteria,Fungi,Cross group
NEG,Arthropoda,Ascomycota,0.93724386036987,0.846301858323618,0.2,192,22,32,Animalia,Fungi,Cross group
NEG,Actinomycetota,Bacillota,0.843835457507056,0.806783879318306,0.5,192,19,28,Bacteria,Bacteria,Within group
NEG,Arthropoda,Bacillota,3.30883156457962,0.989429279582119,0.0,192,22,28,Animalia,Bacteria,Cross group
NEG,Ascomycota,Bacillota,3.38482872630828,0.983875541764665,0.4,192,32,28,Fungi,Bacteria,Cross group
NEG,Actinomycetota,Basidiomycota,3.37806056677245,0.940174926284284,0.75,192,19,11,Bacteria,Fungi,Cross group
