feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
A15_201035,Mollusca,Animalia,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.880559,,,,C[C@@H]1C[C@@H](O)[C@@]23CO[C@@H](O)[C@@H]2CCC[C@@H]3[C@@]12C[C@@H](c1ccoc1)OC2=O,True,dreams_neighbour_only,unidentified
A15_201099,Streptophyta,Viridiplantae,TG(18:3_18:3_18:3)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.83138436,MSV000085779,environmental samples <Bacillariophyta> (NCBITaxon:33858),RT_Jake_AH1_2,,True,dreams_neighbour_only,eligible
A15_201183,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.83937126,MSV000082608,C57BL/6N,81856,,True,dreams_neighbour_only,eligible
A15_201224,Streptophyta,Viridiplantae,PI(23:5_16:0),PI,PI,Glycerophospholipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7128108,MSV000083106,Gossypium,rime5941_181101_Cotton_YEE_gutcontent_5_1ul,,True,dreams_neighbour_only,eligible
A15_201232,Streptophyta,Viridiplantae,,Hopanoid,Hopanoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7225023,MSV000082729,Mus musculus,20160307_S00021666_P,,True,dreams_neighbour_only,eligible
A15_201235,Streptophyta,Viridiplantae,TG(24:1_20:5),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C44H85NO6S,[M + H]+,1.0,True,fresh_new_or_changed,Fatty acids,Spingolipids,Ceramides,Fatty acid esters,True,True,True,fresh_new_or_changed,0.8133021,MSV000084325,Mus musculus,Pos_P33_A12_oesophagus_benznidazole,,True,csi_fingerid_structure_candidate,eligible
A15_201236,Streptophyta,Viridiplantae,TG(O-22:6_18:3_18:4),TG,TG,Glycerolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8329194,MSV000086644,,148_MJB2418_6ul_BD4_01_22342,,True,dreams_neighbour_only,eligible
A15_201285,Pseudomonadota,Bacteria,PE(19:1_19:1),PE,PE,Glycerophospholipids,LipidSearch,Gold,4,Gold,LipidSearch,4,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,eligible
A15_201294,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,retained_exact,True,False,none,,,,False,none,,,,,False,False,False,none,,,,,,True,ms2lda_model_only,unidentified
A15_201305,Streptophyta,Viridiplantae,,Terpenoid,Terpenoid,Prenol lipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C53H92O6,[M + Na]+,1.0,True,fresh_new_or_changed,Fatty acids,Glycerolipids,Triacylglycerols,Triacylglycerols,True,True,True,fresh_new_or_changed,0.7280237,MSV000080444,Homo sapiens,P3_MOR_Vol4_D6_Chest_GD6_01_33332,,True,csi_fingerid_structure_candidate,eligible
A15_201388,Streptophyta,Viridiplantae,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7862981,MSV000082048,Mus musculus,12_74,,True,dreams_neighbour_only,unidentified
A15_201399,Streptophyta,Viridiplantae,Cer(d18:2_22:2),Cer,Cer,Sphingolipids,LipidSearch,Bronze,3,Bronze,LipidSearch,3,False,False,False,,indval_consensus,new_or_changed,True,True,fresh_new_or_changed,C38H75NO3,[M + Na]+,0.999,True,fresh_new_or_changed,Fatty acids,Spingolipids,Ceramides,Long-chain ceramides,True,True,True,fresh_new_or_changed,0.8813922,MSV000083773,Staphylococcus aureus,U01_COM01_LAC_RPMI_09_120min,,True,csi_fingerid_structure_candidate,eligible
