feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source_pre_release,annotation_tier_pre_release,annotation_level_pre_release,annotation_tier,annotation_source,annotation_level,family_propagation_applied,rt_uncertain_any,archlips_rt_excluded,release_exclusion_reason,discovery_method,partition,has_usable_ms2,has_sirius_formula,sirius_formula_provenance,sirius_molecular_formula,sirius_adduct,sirius_score_normalized,has_canopus_class,canopus_provenance,NPC#pathway,NPC#superclass,NPC#class,ClassyFire#most specific class,has_csi_fingerid_structure,has_denovo_structure,has_dreams_result,dreams_provenance,DreaMS_similarity,ref_msv_id,ref_msv_species_resolved,ref_name,ref_smiles,in_strict_ms2lda_model,external_evidence_depth,annotation_release_status
NEG_111574,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.76660883,MSV000086381,Trachymyrmex septentrionalis (NCBITaxon:34720),BF1_BF1_01_57403,,True,dreams_neighbour_only,unidentified
NEG_111586,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.8395748,MSV000087800,Homo sapiens (NCBITaxon:9606),20181005_23_ACLY_A2,,True,dreams_neighbour_only,unidentified
NEG_111609,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.783434,MSV000082722,Mus musculus,20170125_PP_CS00000004-2_P,,True,dreams_neighbour_only,unidentified
NEG_111611,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.78990906,MSV000086221,Aspergillaceae sp. (NCBITaxon:1914746),20180126_vjw839_Metabolomics_XBridge1_WS-12_soak,,True,dreams_neighbour_only,unidentified
NEG_111614,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8046211,MSV000082731,Mus musculus,20151020_S00019933_P,,True,dreams_neighbour_only,unidentified
NEG_111616,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.84539944,MSV000087904,Burkholderia (NCBITaxon:32008),pSK019_M20_Lassopeptide_Burkholderia_PelletextractionMeOH,,True,dreams_neighbour_only,unidentified
NEG_111617,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7507912,MSV000079146,Scleractinia,ER_153_GG4_01_2330,,True,dreams_neighbour_only,unidentified
NEG_111633,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.76632595,MSV000087800,Homo sapiens (NCBITaxon:9606),20190828_062_Uc_1,,True,dreams_neighbour_only,unidentified
NEG_111661,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.77538776,MSV000087093,C57BL/6J Mice,63,,True,dreams_neighbour_only,unidentified
NEG_111663,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.84674746,MSV000080933,Homo sapiens,global_positive_Batch1_E74,,True,dreams_neighbour_only,unidentified
NEG_111680,Bacillota,Bacteria,,Glycerophospholipid,Glycerophospholipid,Glycerophospholipids,MS2_diagnostic,Bronze,2,Bronze,MS2_diagnostic,2,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7773221,MSV000088324,Homo sapiens (NCBITaxon:9606),Pos_NC21,,True,dreams_neighbour_only,eligible
NEG_111692,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7293107,MSV000087140,Brachypodium distachyon (NCBITaxon:15368),YD%2020180413%206600TF-M_SWATH_Bd-2,,True,dreams_neighbour_only,unidentified
NEG_111708,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8200692,MSV000082490,Homo sapiens,SH15-1347_RD3_01_27426,,True,dreams_neighbour_only,unidentified
NEG_111710,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.9004226,MSV000078565,Homo sapiens,YW_A1EA_20131111_BA4_01_9579,,True,dreams_neighbour_only,unidentified
NEG_111715,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.83493835,MSV000087800,Homo sapiens (NCBITaxon:9606),200306_CellLine_037_MC7_U3,,True,dreams_neighbour_only,unidentified
NEG_111726,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.8363993,MSV000080630,C57/BL6N (blank 6 mice),C18_66352_66401,,True,dreams_neighbour_only,unidentified
NEG_111728,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8178165,MSV000082962,Citrus sinensis,11-20-5_56_RH2_01_30908,,True,dreams_neighbour_only,unidentified
NEG_111744,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8336696,MSV000080540,Fusarium fujikuroi,GMI_lowB_pos_frag,,True,dreams_neighbour_only,unidentified
NEG_111758,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8417185,MSV000085506,Homo sapiens (NCBITaxon:9606),UDN_BG_A_C_OHSU061_L_132_POS_11Mar17_Lola-WCSH7906,,True,dreams_neighbour_only,unidentified
NEG_111777,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.77584195,MSV000081463,Solanum lycopersicum,J1_1_Endocarp_3_G_B2,,True,dreams_neighbour_only,unidentified
NEG_111811,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.7896883,MSV000081893,Homo sapiens,OMICS_MFB003_icMERS_12HRS_B_LIPID_034_POS_14April17_Polaroid_HSST-T3-A923,,True,dreams_neighbour_only,unidentified
NEG_111821,Pseudomonadota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.8354014,MSV000083077,Homo sapiens,PHT_20_120_Cort_Waking,,True,dreams_neighbour_only,unidentified
NEG_111844,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.78056395,MSV000087087,Homo sapiens (NCBITaxon:9606),5556761,,True,dreams_neighbour_only,unidentified
NEG_111847,Heterolobosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,retained_exact,True,False,none,,,,False,none,,,,,False,False,True,exact_retained_cache,0.7856011,MSV000090006,Komagataella phaffii (NCBITaxon:460519),Yeast_dd_pos_1_lipid_2D_RP_HILIC,,True,dreams_neighbour_only,unidentified
NEG_111849,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.813086,MSV000089285,Ocean Environmental Samples,55_MT_PB,,True,dreams_neighbour_only,unidentified
NEG_111940,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.76406825,MSV000082432,Homo sapiens,5B5_%20V2_%20RJaw_%20D14H0_%20W7_BB5_01_11559,,True,dreams_neighbour_only,unidentified
NEG_111958,Bacillota,Bacteria,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,indval_consensus,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.79667175,MSV000082049,Mus musculus,12_20,,True,dreams_neighbour_only,unidentified
NEG_111971,Evosea,Protozoa,,,,,none,Unidentified,0,Unidentified,none,0,False,False,False,,composite,new_or_changed,True,False,none,,,,False,none,,,,,False,False,True,fresh_new_or_changed,0.74623483,MSV000082432,Homo sapiens,5B5_%20V2_%20RJaw_%20D14H0_%20W7_BB5_01_11559,,True,dreams_neighbour_only,unidentified
