motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_226,Arthropoda,Animalia,3,23,744,0.1304,0.13,1.0035,1.004,0.5904264750184283,0.7998583246804417,False
motif_226,Heterolobosea,Protozoa,3,23,506,0.1304,0.0884,1.4755,1.5501,0.3325109460013663,0.6499149092219259,False
motif_226,Mollusca,Animalia,3,23,324,0.1304,0.0566,2.3043,2.514,0.13812629543620417,0.5495663243951102,False
motif_226,Nematoda,Animalia,2,23,234,0.087,0.0409,2.1271,2.2451,0.24167844380313738,0.6450543693352696,False
motif_226,Streptophyta,Plantae,7,23,1144,0.3043,0.1999,1.5228,1.7562,0.15896773998750524,0.5780243656767898,False
motif_227,Chlorophyta,Plantae,3,29,303,0.1034,0.0529,1.9543,2.075,0.19634509336732006,0.6216400789459591,False
motif_227,Methanobacteriota,Archaea,2,29,277,0.069,0.0484,1.4251,1.4599,0.4130912278327013,0.6999677456115959,False
motif_227,Mollusca,Animalia,4,29,324,0.1379,0.0566,2.4368,2.6875,0.0784044898076055,0.4442921089097645,False
motif_227,Mucoromycota,Fungi,4,29,161,0.1379,0.0281,4.9038,5.6438,0.008273805426494162,0.11772186199218324,False
motif_227,Nematoda,Animalia,2,29,234,0.069,0.0409,1.687,1.7443,0.33364615660590846,0.6499149092219259,False
motif_227,Streptophyta,Plantae,4,29,1144,0.1379,0.1999,0.6901,0.6393,0.8598714690574828,0.9490486956123482,False
motif_227,Thermoproteota,Archaea,3,29,306,0.1034,0.0535,1.9351,2.0533,0.20027788881341274,0.6256891562213777,False
motif_228,Arthropoda,Animalia,2,33,744,0.0606,0.13,0.4663,0.4303,0.9405894495502786,0.9861994424046222,False
motif_228,Heterolobosea,Protozoa,3,33,506,0.0909,0.0884,1.0284,1.0314,0.5683759666875632,0.7965783087730408,False
motif_228,Mollusca,Animalia,2,33,324,0.0606,0.0566,1.0707,1.0757,0.5650629294379526,0.7938134862496702,False
motif_228,Mucoromycota,Fungi,3,33,161,0.0909,0.0281,3.2321,3.5019,0.06441737953940775,0.4174373753321027,False
motif_228,Streptophyta,Plantae,7,33,1144,0.2121,0.1999,1.0613,1.0783,0.49897446593934164,0.7498938873875983,False
motif_228,Thermoproteota,Archaea,4,33,306,0.1212,0.0535,2.2674,2.4613,0.09702745523763734,0.4961286676018253,False
motif_229,Arthropoda,Animalia,2,23,744,0.087,0.13,0.669,0.6365,0.8201943164909467,0.9269053289570244,False
motif_229,Methanobacteriota,Archaea,2,23,277,0.087,0.0484,1.7969,1.8791,0.3067586334449136,0.6499149092219259,False
motif_229,Mollusca,Animalia,3,23,324,0.1304,0.0566,2.3043,2.514,0.13812629543620417,0.5495663243951102,False
motif_229,Streptophyta,Plantae,4,23,1144,0.1739,0.1999,0.8702,0.8423,0.703397485931093,0.8661780894485426,False
motif_23,Arthropoda,Animalia,5,122,744,0.041,0.13,0.3153,0.2812,0.9997920158135499,0.9999988974232555,False
motif_23,Chlorophyta,Plantae,7,122,303,0.0574,0.0529,1.0839,1.0911,0.46952764012728176,0.7290767270778313,False
motif_23,Heterolobosea,Protozoa,5,122,506,0.041,0.0884,0.4636,0.4351,0.9866496829196416,0.9999988974232555,False
motif_23,Methanobacteriota,Archaea,7,122,277,0.0574,0.0484,1.1857,1.2021,0.377583578338035,0.6858983026913616,False
motif_23,Mollusca,Animalia,7,122,324,0.0574,0.0566,1.0137,1.0148,0.5415578023938706,0.7778117181817509,False
motif_23,Mucoromycota,Fungi,2,122,161,0.0164,0.0281,0.5828,0.5705,0.863370245798815,0.9513061041672128,False
motif_23,Nematoda,Animalia,5,122,234,0.041,0.0409,1.0025,1.0027,0.5627630413919327,0.7938134862496702,False
motif_23,Streptophyta,Plantae,34,122,1144,0.2787,0.1999,1.3944,1.5636,0.021422969293878102,0.22985792463677407,False
motif_23,Thermoproteota,Archaea,3,122,306,0.0246,0.0535,0.46,0.4409,0.9628420220105124,0.9994926303027444,False
motif_230,Arthropoda,Animalia,2,22,744,0.0909,0.13,0.6994,0.6685,0.8002145041889885,0.9140320994619423,False
motif_230,Mollusca,Animalia,5,22,324,0.2273,0.0566,4.0152,4.9631,0.00667451265822223,0.09928337579105567,False
motif_230,Streptophyta,Plantae,4,22,1144,0.1818,0.1999,0.9097,0.8893,0.6678112884733542,0.847977386339736,False
motif_231,Streptophyta,Plantae,6,21,1144,0.2857,0.1999,1.4296,1.6046,0.22987025198201305,0.6361082410969265,False
motif_232,Arthropoda,Animalia,2,16,744,0.125,0.13,0.9617,0.9561,0.6350085406767296,0.8279145216592023,False
motif_232,Chlorophyta,Plantae,2,16,303,0.125,0.0529,2.3614,2.5662,0.2064323701449783,0.6361082410969265,False
motif_232,Thermoproteota,Archaea,3,16,306,0.1875,0.0535,3.5074,4.1165,0.050486832737102805,0.38101343232741164,False
motif_233,Heterolobosea,Protozoa,5,30,506,0.1667,0.0884,1.8854,2.0731,0.12016958373457898,0.5308251205043838,False
motif_233,Streptophyta,Plantae,8,30,1144,0.2667,0.1999,1.3343,1.459,0.2381251058406931,0.6440201726146018,False
motif_234,Arthropoda,Animalia,12,30,744,0.4,0.13,3.0774,4.5191,0.00019586852511141732,0.0052324877422621485,True
motif_234,Chlorophyta,Plantae,2,30,303,0.0667,0.0529,1.2594,1.2798,0.47685649769185956,0.7360909852342502,False
motif_234,Heterolobosea,Protozoa,3,30,506,0.1,0.0884,1.1312,1.1467,0.5024105456897237,0.7521980950242781,False
motif_234,Nematoda,Animalia,2,30,234,0.0667,0.0409,1.6308,1.6817,0.34875098435992935,0.6663232757687024,False
motif_234,Streptophyta,Plantae,5,30,1144,0.1667,0.1999,0.8339,0.7998,0.7448428809380083,0.8871697261973844,False
motif_235,Arthropoda,Animalia,5,33,744,0.1515,0.13,1.1657,1.1966,0.4313287571081059,0.7107446985582112,False
motif_235,Chlorophyta,Plantae,4,33,303,0.1212,0.0529,2.2898,2.4874,0.0943817137594081,0.4902605686947032,False
motif_235,Heterolobosea,Protozoa,4,33,506,0.1212,0.0884,1.3712,1.4257,0.33306365520847503,0.6499149092219259,False
motif_235,Mucoromycota,Fungi,2,33,161,0.0606,0.0281,2.1547,2.2447,0.2373358655224797,0.6440201726146018,False
motif_235,Nematoda,Animalia,2,33,234,0.0606,0.0409,1.4825,1.5181,0.3933090977397939,0.6947929945227937,False
motif_235,Streptophyta,Plantae,3,33,1144,0.0909,0.1999,0.4549,0.3988,0.9734193730101388,0.9999988974232555,False
motif_236,Arthropoda,Animalia,2,32,744,0.0625,0.13,0.4808,0.4447,0.9333910519001147,0.98058498149057,False
motif_236,Ascomycota,Fungi,2,32,9,0.0625,0.0016,39.75,54.1429,0.001063790693824081,0.022459709971221327,True
motif_236,Bacillota,Bacteria,6,32,102,0.1875,0.0178,10.5221,13.4519,1.7193730807913154e-05,0.00080380691526994,True
motif_236,Basidiomycota,Fungi,4,32,31,0.125,0.0054,23.0806,29.9735,2.277810334864301e-05,0.0009938845761124566,True
motif_236,Mucoromycota,Fungi,2,32,161,0.0625,0.0281,2.222,2.3199,0.22685595728108146,0.6361082410969265,False
motif_236,Streptophyta,Plantae,7,32,1144,0.2188,0.1999,1.0945,1.1217,0.46382721089451856,0.7217636364786163,False
motif_237,Arthropoda,Animalia,6,26,744,0.2308,0.13,1.7754,2.0163,0.11180383276833923,0.5184682483410522,False
motif_237,Heterolobosea,Protozoa,2,26,506,0.0769,0.0884,0.8702,0.8588,0.6832540247596282,0.8583296721788419,False
motif_237,Streptophyta,Plantae,8,26,1144,0.3077,0.1999,1.5395,1.7848,0.1303839274247174,0.5460273322453314,False
motif_238,Arthropoda,Animalia,45,76,744,0.5921,0.13,4.5554,10.2776,1.4530273389114975e-21,4.755031966587876e-19,True
motif_238,Chlorophyta,Plantae,3,76,303,0.0395,0.0529,0.7457,0.7326,0.775115305294575,0.89789905719522,False
motif_238,Heterolobosea,Protozoa,3,76,506,0.0395,0.0884,0.4465,0.4204,0.969777054157129,0.9999988974232555,False
motif_238,Methanobacteriota,Archaea,2,76,277,0.0263,0.0484,0.5438,0.5281,0.8894509630706366,0.9638173101485623,False
motif_238,Mollusca,Animalia,3,76,324,0.0395,0.0566,0.6974,0.682,0.8131106230167359,0.9269053289570244,False
motif_238,Streptophyta,Plantae,9,76,1144,0.1184,0.1999,0.5925,0.5341,0.9789780800221849,0.9999988974232555,False
motif_239,Arthropoda,Animalia,3,21,744,0.1429,0.13,1.0991,1.1161,0.5262508378761607,0.774002636831342,False
motif_239,Heterolobosea,Protozoa,3,21,506,0.1429,0.0884,1.616,1.723,0.28236337935490663,0.6450543693352696,False
motif_239,Mollusca,Animalia,2,21,324,0.0952,0.0566,1.6825,1.7591,0.3352993668998426,0.6502324018842873,False
motif_239,Streptophyta,Plantae,7,21,1144,0.3333,0.1999,1.6678,2.0079,0.10779161827160263,0.5125399382622401,False
motif_24,Arthropoda,Animalia,11,24,744,0.4583,0.13,3.5262,5.7338,8.301345408927101e-05,0.002716615285071394,True
motif_24,Thermoproteota,Archaea,2,24,306,0.0833,0.0535,1.5588,1.6136,0.3700546713068334,0.6790956342524939,False
motif_240,Arthropoda,Animalia,2,20,744,0.1,0.13,0.7694,0.743,0.7542860979151301,0.891119586796846,False
motif_240,Bacillota,Bacteria,2,20,102,0.1,0.0178,5.6118,6.2267,0.048507401950786386,0.37795350686654394,False
motif_240,Heterolobosea,Protozoa,3,20,506,0.15,0.0884,1.6968,1.8247,0.2575199764653583,0.6450543693352696,False
motif_240,Mollusca,Animalia,4,20,324,0.2,0.0566,3.5333,4.2062,0.023743620898722704,0.23545757391233346,False
motif_240,Nematoda,Animalia,2,20,234,0.1,0.0409,2.4462,2.6207,0.19595449565696194,0.6216400789459591,False
motif_240,Streptophyta,Plantae,3,20,1144,0.15,0.1999,0.7505,0.7057,0.7939695220060983,0.9116720213210374,False
motif_241,Heterolobosea,Protozoa,3,22,506,0.1364,0.0884,1.5426,1.632,0.30740005991581815,0.6499149092219259,False
motif_241,Mollusca,Animalia,2,22,324,0.0909,0.0566,1.6061,1.6708,0.35632260736294247,0.6663232757687024,False
motif_241,Streptophyta,Plantae,4,22,1144,0.1818,0.1999,0.9097,0.8893,0.6678112884733542,0.847977386339736,False
motif_241,Thermoproteota,Archaea,2,22,306,0.0909,0.0535,1.7005,1.7757,0.33050642556661686,0.6499149092219259,False
motif_242,Arthropoda,Animalia,7,54,744,0.1296,0.13,0.9973,0.9969,0.5644038582760378,0.7938134862496702,False
motif_242,Chlorophyta,Plantae,2,54,303,0.037,0.0529,0.6997,0.686,0.7883356495100373,0.9116001459440273,False
motif_242,Heterolobosea,Protozoa,4,54,506,0.0741,0.0884,0.8379,0.8236,0.715572256700382,0.87845820528875,False
motif_242,Methanobacteriota,Archaea,2,54,277,0.037,0.0484,0.7653,0.7545,0.7442251967951663,0.8871697261973844,False
motif_242,Mollusca,Animalia,3,54,324,0.0556,0.0566,0.9815,0.9802,0.5972194309247301,0.8054482201457306,False
motif_242,Mucoromycota,Fungi,3,54,161,0.0556,0.0281,1.9752,2.0521,0.1935183844460997,0.6216400789459591,False
motif_242,Nematoda,Animalia,6,54,234,0.1111,0.0409,2.7179,2.9836,0.021927775594377117,0.23183445738379987,False
motif_242,Streptophyta,Plantae,8,54,1144,0.1481,0.1999,0.7413,0.6941,0.8724493854073683,0.9551969146581845,False
motif_242,Thermoproteota,Archaea,3,54,306,0.0556,0.0535,1.0392,1.0419,0.5575868283126266,0.7919773886692938,False
motif_243,Chlorophyta,Plantae,2,13,303,0.1538,0.0529,2.9063,3.2679,0.1484549819967498,0.5665526863957595,False
