motif,phylum,kingdom,n_motif_in_phylum,n_motif_total,n_phylum_total,observed_frac,expected_frac,enrichment_ratio,odds_ratio,pvalue,padj,significant
motif_243,Mucoromycota,Fungi,5,25,862,0.2,0.1003,1.9942,2.25,0.09863405604248017,0.5415048071783112,False
motif_243,Streptophyta,Plantae,9,25,1334,0.36,0.1552,2.3195,3.0757,0.009861555529515752,0.1348031764556414,False
motif_244,Methanobacteriota,Archaea,7,40,869,0.175,0.1011,1.7309,1.8931,0.1035351420842529,0.546165246162569,False
motif_244,Mollusca,Animalia,4,40,370,0.1,0.043,2.323,2.486,0.09170364778083058,0.5223120808386437,False
motif_244,Mucoromycota,Fungi,6,40,862,0.15,0.1003,1.4956,1.5872,0.2077304085870301,0.711442706533358,False
motif_244,Streptophyta,Plantae,3,40,1334,0.075,0.1552,0.4832,0.4401,0.9595844157072746,1.0,False
motif_244,Thermoproteota,Archaea,6,40,992,0.15,0.1154,1.2996,1.3547,0.3124769975561271,0.8085936632263382,False
motif_245,Arthropoda,Animalia,2,30,336,0.0667,0.0391,1.7054,1.7603,0.328818838071221,0.813577666267855,False
motif_245,Chlorophyta,Plantae,4,30,286,0.1333,0.0333,4.007,4.5188,0.016638314185690527,0.18724133033063003,False
motif_245,Methanobacteriota,Archaea,4,30,869,0.1333,0.1011,1.3188,1.3695,0.36036521918398856,0.8150994597945757,False
motif_245,Mucoromycota,Fungi,3,30,862,0.1,0.1003,0.9971,0.9968,0.5910797740800218,0.9357699537637565,False
motif_245,Streptophyta,Plantae,6,30,1334,0.2,0.1552,1.2886,1.3624,0.31810877031710616,0.8117970567183294,False
motif_245,Thermoproteota,Archaea,3,30,992,0.1,0.1154,0.8664,0.8511,0.6894591457960699,0.9608420010562251,False
motif_246,Evosea,Protozoa,6,23,532,0.2609,0.0619,4.2146,5.3988,0.0022290422005399584,0.04435511821833943,True
motif_246,Methanobacteriota,Archaea,2,23,869,0.087,0.1011,0.8601,0.8464,0.6913368748780058,0.960903242536008,False
motif_246,Mucoromycota,Fungi,2,23,862,0.087,0.1003,0.867,0.854,0.6868681455217251,0.9606376554805621,False
motif_246,Streptophyta,Plantae,6,23,1334,0.2609,0.1552,1.6808,1.9252,0.1342234725245278,0.601394125118331,False
motif_247,Arthropoda,Animalia,3,36,336,0.0833,0.0391,2.1317,2.2457,0.16501621626807852,0.6366079943692103,False
motif_247,Methanobacteriota,Archaea,3,36,869,0.0833,0.1011,0.8242,0.8076,0.7199690108068713,0.9711786221641464,False
motif_247,Mollusca,Animalia,4,36,370,0.1111,0.043,2.5811,2.7982,0.06739900001373081,0.45085628945355244,False
motif_247,Mucoromycota,Fungi,2,36,862,0.0556,0.1003,0.5539,0.5266,0.8888812251808019,0.9970658001700066,False
motif_247,Streptophyta,Plantae,7,36,1334,0.1944,0.1552,1.2528,1.3155,0.32140101048022374,0.813577666267855,False
motif_247,Thermoproteota,Archaea,6,36,992,0.1667,0.1154,1.4441,1.5361,0.23033037003497484,0.7404485515234773,False
motif_248,Arthropoda,Animalia,8,42,336,0.1905,0.0391,4.8724,5.9003,0.00018482305589699637,0.0056968988994133005,True
motif_248,Evosea,Protozoa,4,42,532,0.0952,0.0619,1.5387,1.5999,0.26075640851285475,0.7633316092778542,False
motif_248,Methanobacteriota,Archaea,4,42,869,0.0952,0.1011,0.942,0.9356,0.625861247021648,0.9497811466344049,False
motif_248,Mollusca,Animalia,9,42,370,0.2143,0.043,4.9778,6.1889,5.808963954758729e-05,0.0019851502906262438,True
motif_248,Streptophyta,Plantae,6,42,1334,0.1429,0.1552,0.9204,0.9068,0.6529070112355422,0.9497811466344049,False
motif_248,Thermoproteota,Archaea,3,42,992,0.0714,0.1154,0.6189,0.5883,0.8781234019506978,0.9970658001700066,False
motif_249,Arthropoda,Animalia,2,35,336,0.0571,0.0391,1.4617,1.4927,0.3999364327342002,0.8413255696120808,False
motif_249,Evosea,Protozoa,2,35,532,0.0571,0.0619,0.9232,0.9182,0.6469733095649499,0.9497811466344049,False
motif_249,Methanobacteriota,Archaea,2,35,869,0.0571,0.1011,0.5652,0.5378,0.8821354758421923,0.9970658001700066,False
motif_249,Mucoromycota,Fungi,7,35,862,0.2,0.1003,1.9942,2.2529,0.05552756584509989,0.40599690003952105,False
motif_249,Streptophyta,Plantae,4,35,1334,0.1143,0.1552,0.7363,0.7014,0.8145964810215525,0.99451782107906,False
motif_249,Thermoproteota,Archaea,6,35,992,0.1714,0.1154,1.4853,1.5893,0.21094039631538097,0.7193021757218632,False
motif_250,Evosea,Protozoa,2,45,532,0.0444,0.0619,0.718,0.7038,0.7769277076078976,0.9929515092354594,False
motif_250,Methanobacteriota,Archaea,8,45,869,0.1778,0.1011,1.7583,1.9309,0.0790880789198125,0.49140893305116695,False
motif_250,Mollusca,Animalia,3,45,370,0.0667,0.043,1.5486,1.5926,0.3058233244183577,0.8078792365045253,False
motif_250,Mucoromycota,Fungi,10,45,862,0.2222,0.1003,2.2158,2.5815,0.012048390885230525,0.15524647927526544,False
motif_250,Streptophyta,Plantae,4,45,1334,0.0889,0.1552,0.5727,0.5296,0.9344264501582291,0.9998341823455873,False
motif_250,Thermoproteota,Archaea,7,45,992,0.1556,0.1154,1.3478,1.4148,0.2583546871414769,0.7633316092778542,False
motif_251,Methanobacteriota,Archaea,5,70,869,0.0714,0.1011,0.7065,0.6821,0.8492529638776232,0.9945676565140079,False
motif_251,Mollusca,Animalia,2,70,370,0.0286,0.043,0.6637,0.6519,0.8105483421498628,0.99451782107906,False
motif_251,Mucoromycota,Fungi,25,70,862,0.3571,0.1003,3.5611,5.1029,6.018103995617122e-09,4.1132432526565724e-07,True
motif_251,Streptophyta,Plantae,25,70,1334,0.3571,0.1552,2.3011,3.0626,2.5702918221244508e-05,0.000939650870785962,True
motif_251,Thermoproteota,Archaea,4,70,992,0.0571,0.1154,0.4951,0.4623,0.9681846414392848,1.0,False
motif_252,Chlorophyta,Plantae,4,60,286,0.0667,0.0333,2.0035,2.0904,0.13849024585068137,0.6064252548113401,False
motif_252,Methanobacteriota,Archaea,6,60,869,0.1,0.1011,0.9891,0.9878,0.5745637829207175,0.9357699537637565,False
motif_252,Mollusca,Animalia,14,60,370,0.2333,0.043,5.4203,6.9923,1.6735802337890935e-07,1.011872356737098e-05,True
motif_252,Mucoromycota,Fungi,6,60,862,0.1,0.1003,0.9971,0.9968,0.5663266967344055,0.9357699537637565,False
motif_252,Streptophyta,Plantae,9,60,1334,0.15,0.1552,0.9665,0.9603,0.5995166269671268,0.9372147633823814,False
motif_252,Thermoproteota,Archaea,4,60,992,0.0667,0.1154,0.5776,0.5456,0.927422308474291,0.9998341823455873,False
motif_253,Evosea,Protozoa,3,29,532,0.1034,0.0619,1.6713,1.753,0.2660318744545801,0.7701696254928175,False
motif_253,Methanobacteriota,Archaea,3,29,869,0.1034,0.1011,1.0232,1.0259,0.5731692595144717,0.9357699537637565,False
motif_253,Mollusca,Animalia,5,29,370,0.1724,0.043,4.0051,4.6809,0.007275010753349724,0.10688146639500716,False
motif_253,Mucoromycota,Fungi,6,29,862,0.2069,0.1003,2.063,2.3497,0.06412993941344068,0.4383141945996902,False
motif_253,Streptophyta,Plantae,3,29,1334,0.1034,0.1552,0.6665,0.6272,0.8499666649053945,0.9945676565140079,False
motif_254,Methanobacteriota,Archaea,51,77,869,0.6623,0.1011,6.551,18.4644,8.114420876087161e-33,1.5944837021511274e-30,True
motif_254,Mucoromycota,Fungi,7,77,862,0.0909,0.1003,0.9065,0.8963,0.6645007554893336,0.9501280989659713,False
motif_254,Streptophyta,Plantae,3,77,1334,0.039,0.1552,0.251,0.2189,0.9997504419398763,1.0,False
motif_254,Thermoproteota,Archaea,9,77,992,0.1169,0.1154,1.0127,1.0145,0.5371658238381541,0.9189162967462194,False
motif_255,Arthropoda,Animalia,9,36,336,0.25,0.0391,6.3951,8.3914,7.079609611835131e-06,0.0003273278326413184,True
motif_255,Evosea,Protozoa,3,36,532,0.0833,0.0619,1.3463,1.38,0.38685197178327646,0.8289435788359458,False
motif_255,Mollusca,Animalia,5,36,370,0.1389,0.043,3.2264,3.6209,0.0180764776495934,0.1959739507942126,False
motif_255,Mucoromycota,Fungi,5,36,862,0.1389,0.1003,1.3849,1.4495,0.2911147618673676,0.7876633488046504,False
motif_255,Streptophyta,Plantae,4,36,1334,0.1111,0.1552,0.7159,0.6794,0.8318064257481214,0.99451782107906,False
motif_255,Thermoproteota,Archaea,2,36,992,0.0556,0.1154,0.4814,0.4497,0.9314908738350236,0.9998341823455873,False
motif_256,Arthropoda,Animalia,2,64,336,0.0312,0.0391,0.7994,0.7917,0.7203525912489788,0.9711786221641464,False
motif_256,Chlorophyta,Plantae,8,64,286,0.125,0.0333,3.7566,4.241,0.0011950189675631238,0.026091247458461538,True
motif_256,Evosea,Protozoa,2,64,532,0.0312,0.0619,0.5049,0.487,0.9133138630118032,0.9970658001700066,False
motif_256,Methanobacteriota,Archaea,2,64,869,0.0312,0.1011,0.3091,0.2852,0.991235888937242,1.0,False
motif_256,Mucoromycota,Fungi,20,64,862,0.3125,0.1003,3.1159,4.1508,2.2992150973903094e-06,0.00012047887110325222,True
motif_256,Streptophyta,Plantae,9,64,1334,0.1406,0.1552,0.9061,0.8899,0.6792403740930869,0.9557242606014954,False
motif_256,Thermoproteota,Archaea,4,64,992,0.0625,0.1154,0.5415,0.509,0.9474666254450511,1.0,False
motif_257,Arthropoda,Animalia,3,35,336,0.0857,0.0391,2.1926,2.3162,0.15547775865809982,0.6249821237782561,False
motif_257,Evosea,Protozoa,4,35,532,0.1143,0.0619,1.8464,1.9629,0.16838825090124435,0.6424910932445537,False
motif_257,Methanobacteriota,Archaea,3,35,869,0.0857,0.1011,0.8478,0.8329,0.701692873385108,0.9644546621865697,False
motif_257,Mollusca,Animalia,3,35,370,0.0857,0.043,1.9911,2.0929,0.18974215040106887,0.6875363902188464,False
motif_257,Mucoromycota,Fungi,3,35,862,0.0857,0.1003,0.8547,0.8405,0.6962579237361533,0.9643325604521875,False
motif_257,Streptophyta,Plantae,6,35,1334,0.1714,0.1552,1.1045,1.1267,0.46570260146870596,0.8938760555663073,False
motif_258,Chlorophyta,Plantae,2,50,286,0.04,0.0333,1.2021,1.212,0.4995461468851783,0.9049664058897045,False
motif_258,Evosea,Protozoa,5,50,532,0.1,0.0619,1.6156,1.6905,0.19526918580901903,0.6875363902188464,False
motif_258,Methanobacteriota,Archaea,5,50,869,0.1,0.1011,0.9891,0.9878,0.5794733149494771,0.9357699537637565,False
motif_258,Mollusca,Animalia,4,50,370,0.08,0.043,1.8584,1.9432,0.16719068755913244,0.6416464949275479,False
motif_258,Mucoromycota,Fungi,2,50,862,0.04,0.1003,0.3988,0.3723,0.9670148734974949,1.0,False
motif_258,Streptophyta,Plantae,2,50,1334,0.04,0.1552,0.2577,0.2256,0.9978284631647132,1.0,False
motif_258,Thermoproteota,Archaea,2,50,992,0.04,0.1154,0.3466,0.318,0.9838669734400588,1.0,False
motif_259,Arthropoda,Animalia,6,38,336,0.1579,0.0391,4.039,4.6744,0.0032680377379602226,0.059736689814807786,False
motif_259,Chlorophyta,Plantae,3,38,286,0.0789,0.0333,2.3726,2.506,0.13153479224633,0.5958867245280426,False
motif_259,Methanobacteriota,Archaea,2,38,869,0.0526,0.1011,0.5206,0.4928,0.9086371852636758,0.9970658001700066,False
motif_259,Mucoromycota,Fungi,4,38,862,0.1053,0.1003,1.0496,1.0557,0.5378895019683235,0.9189162967462194,False
