formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
5	C16H34O7	[M + K]+	C16H34KO7+	Fatty acids	0.771	Fatty acyls	0.633	Fatty alcohols	0.748	Organic oxygen compounds	0.998	Organooxygen compounds	0.997	Carbohydrates and carbohydrate conjugates	0.647	Monosaccharides	0.627	Monosaccharides	0.627	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Polyols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	377.194	100	1.662	875367085262613180	875355510589221344	875355510589221343	A15_1286	
5	C16H34O7	[M + K]+	C16H34KO7+	Fatty acids	0.771	Fatty acyls	0.633	Fatty alcohols	0.748	Organic oxygen compounds	0.998	Organooxygen compounds	0.997	Carbohydrates and carbohydrate conjugates	0.647	Monosaccharides	0.627	Monosaccharides	0.627	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Polyols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	377.194	100	1.662	875367073308846569	875366976118425869	875366976118425868	A15_1286	
1	C22H24N4O2	[M + H]+	C22H25N4O2+	Alkaloids	0.507	Anthranilic acid alkaloids	0.067	Benzodiazepine alkaloids	0.035	Benzenoids	0.995	Benzene and substituted derivatives	0.963					Benzene and substituted derivatives	0.963	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	100	1.662	875367052291188925	875355502569711284	875355502569711283	A15_1013	
1	C22H24N4O2	[M + H]+	C22H25N4O2+	Alkaloids	0.507	Anthranilic acid alkaloids	0.067	Benzodiazepine alkaloids	0.035	Benzenoids	0.995	Benzene and substituted derivatives	0.963					Benzene and substituted derivatives	0.963	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	100	1.662	875367051804649582	875366969495619041	875366969491424736	A15_1013	
3	C15H26O2	[M + Na]+	C15H26NaO2+	Terpenoids	0.984	Sesquiterpenoids	0.961	Caryophyllane sesquiterpenoids	0.362	Lipids and lipid-like molecules	0.768	Prenol lipids	0.715	Sesquiterpenoids	0.537			Sesquiterpenoids	0.537	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Cyclic alcohols and derivatives; Sesquiterpenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	261.185	101	1.676	875367122109574439	875355532412189272	875355532412189271	A15_1927	
3	C15H26O2	[M + Na]+	C15H26NaO2+	Terpenoids	0.984	Sesquiterpenoids	0.961	Caryophyllane sesquiterpenoids	0.362	Lipids and lipid-like molecules	0.768	Prenol lipids	0.715	Sesquiterpenoids	0.537			Sesquiterpenoids	0.537	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Cyclic alcohols and derivatives; Sesquiterpenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	261.185	101	1.676	875367056804260129	875366997693929861	875366997693929860	A15_1927	
1	C27H46N8O6	[M + H]+	C27H47N8O6+	Amino acids and Peptides	0.912	Oligopeptides	0.932	Cyclic peptides	0.448	Organic acids and derivatives	0.904	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.578	Amino acids and derivatives	0.555	Amino acids and derivatives	0.555	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	101	1.688	875367074260953675	875355522278748900	875355522278748899	A15_1650	
1	C27H46N8O6	[M + H]+	C27H47N8O6+	Amino acids and Peptides	0.912	Oligopeptides	0.932	Cyclic peptides	0.448	Organic acids and derivatives	0.904	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.578	Amino acids and derivatives	0.555	Amino acids and derivatives	0.555	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	101	1.688	875367063930382668	875366987870867985	875366987870867984	A15_1650	
7	C19H30O6	[M + Na]+	C19H30NaO6+	Polyketides	0.678	Linear polyketides	0.300	Open-chain polyketides	0.393	Lipids and lipid-like molecules	0.697	Fatty Acyls	0.532					Fatty Acyls	0.532	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	377.194	101	1.692	875367123367865667	875355541778072056	875355541778072055	A15_3787	
7	C19H30O6	[M + Na]+	C19H30NaO6+	Polyketides	0.678	Linear polyketides	0.300	Open-chain polyketides	0.393	Lipids and lipid-like molecules	0.697	Fatty Acyls	0.532					Fatty Acyls	0.532	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	377.194	101	1.692	875367120142445816	875367006984315173	875367006984315172	A15_3787	
