formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C19H30O6	[M + Na]+	C19H30NaO6+	Terpenoids	0.572	Macrolides	0.188	Labdane diterpenoids	0.776	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.956	Ketones	0.719	Cyclohexenones	0.579	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	377.194	100	1.662	875367085262613176	875355510589221344	875355510589221343	A15_1286	
1	C19H30O6	[M + Na]+	C19H30NaO6+	Terpenoids	0.572	Macrolides	0.188	Labdane diterpenoids	0.776	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.956	Ketones	0.719	Cyclohexenones	0.579	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	377.194	100	1.662	875367073308846565	875366976118425869	875366976118425868	A15_1286	
1	C22H24N4O2	[M + H]+	C22H25N4O2+	Alkaloids	0.507	Anthranilic acid alkaloids	0.067	Benzodiazepine alkaloids	0.035	Benzenoids	0.995	Benzene and substituted derivatives	0.963					Benzene and substituted derivatives	0.963	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	100	1.662	875367052291188925	875355502569711284	875355502569711283	A15_1013	
1	C22H24N4O2	[M + H]+	C22H25N4O2+	Alkaloids	0.507	Anthranilic acid alkaloids	0.067	Benzodiazepine alkaloids	0.035	Benzenoids	0.995	Benzene and substituted derivatives	0.963					Benzene and substituted derivatives	0.963	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	100	1.662	875367051804649582	875366969495619041	875366969491424736	A15_1013	
1	C17H24O2	[M + H]+	C17H25O2+	Terpenoids	0.882	Diterpenoids	0.498	Norlabdane diterpenoids	0.061	Lipids and lipid-like molecules	0.697							Lipids and lipid-like molecules	0.697	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	261.185	101	1.676	875367122109574437	875355532412189272	875355532412189271	A15_1927	
1	C17H24O2	[M + H]+	C17H25O2+	Terpenoids	0.882	Diterpenoids	0.498	Norlabdane diterpenoids	0.061	Lipids and lipid-like molecules	0.697							Lipids and lipid-like molecules	0.697	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	261.185	101	1.676	875367056804260127	875366997693929861	875366997693929860	A15_1927	
1	C27H46N8O6	[M + H]+	C27H47N8O6+	Amino acids and Peptides	0.912	Oligopeptides	0.932	Cyclic peptides	0.448	Organic acids and derivatives	0.904	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.578	Amino acids and derivatives	0.555	Amino acids and derivatives	0.555	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	101	1.688	875367074260953675	875355522278748900	875355522278748899	A15_1650	
1	C27H46N8O6	[M + H]+	C27H47N8O6+	Amino acids and Peptides	0.912	Oligopeptides	0.932	Cyclic peptides	0.448	Organic acids and derivatives	0.904	Carboxylic acids and derivatives	0.743	Amino acids, peptides, and analogues	0.578	Amino acids and derivatives	0.555	Amino acids and derivatives	0.555	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	579.362	101	1.688	875367063930382668	875366987870867985	875366987870867984	A15_1650	
1	C16H28N2O8	[M + H]+	C16H29N2O8+	Amino acids and Peptides	0.477	Small peptides	0.342	Dipeptides	0.132	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.900	Amino acids and derivatives	0.900	Alpha amino acids	0.751	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	101	1.692	875367123367865661	875355541778072056	875355541778072055	A15_3787	
1	C16H28N2O8	[M + H]+	C16H29N2O8+	Amino acids and Peptides	0.477	Small peptides	0.342	Dipeptides	0.132	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.900	Amino acids and derivatives	0.900	Alpha amino acids	0.751	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.194	101	1.692	875367120142445810	875367006984315173	875367006984315172	A15_3787	
