feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
A15_110215,Streptophyta,True,TG(18:2_6:0_6:0),TG(18:2_6:0_6:0)+NH4,TG,triacyl,M+NH4,C,0.3178659560874923,bronze,1.9177235944783837,0.1373840000000008,1.0,1.0,C33 H62 N1 O6
A15_110219,Streptophyta,True,PC(P-40:12),PC(P-40:12)+H,PC,alkenyl-acyl,M+H,C,0.2884666717088735,silver,3.732554543965996,0.1974952367391313,2.0,1.0,C48 H73 N1 O7 P1
A15_110258,Streptophyta,False,,,,,,,,,,,,,
A15_110342,Streptophyta,True,TG(18:2_18:3),TG(18:2_18:3)+NH4,TG,triacyl,M+NH4,B,0.8355327396495782,gold,0.9100123536716748,0.1877648247273278,6.0,2.0,C39 H68 N1 O6
A15_110355,Streptophyta,False,,,,,,,,,,,,,
A15_110357,Streptophyta,False,,,,,,,,,,,,,
A15_110454,Streptophyta,True,DG(15:2_18:2),DG(15:2_18:2)+Na,DG,diacyl,M+Na,C,1.1666654813664556,silver,2.1330703599168728,0.13856,3.0,2.0,C36 H62 Na1 O5
A15_110490,Streptophyta,False,,,,,,,,,,,,,
A15_110525,Streptophyta,True,PI(18:3_18:3),PI(18:3_18:3)+NH4,PI,diacyl,M+NH4,A,0.988751460711806,gold,0.3256261956832873,0.0316731190029919,4.0,5.0,C45 H79 N1 O13 P1
A15_110527,Streptophyta,True,DG(18:1_22:5),DG(18:1_22:5)+Na,DG,diacyl,M+Na,C,0.3132877549266869,bronze,4.88048109211015,0.0092850000000002,1.0,3.0,C43 H72 Na1 O5
A15_110528,Streptophyta,True,Hex1Cer(d16:2_20:1),Hex1Cer(d16:2_20:1)+H,Hex1Cer,Ceramide monosaccharides,M+H,C,0.0520935367612581,bronze,1.189080914365724,0.0709609999999987,1.0,1.0,C42 H78 N1 O8
A15_110543,Streptophyta,False,,,,,,,,,,,,,
A15_110631,Streptophyta,False,,,,,,,,,,,,,
A15_110633,Streptophyta,True,DGDG(18:3_18:3),DGDG(18:3_18:3)+NH4,DGDG,Digalactosyldiacylglycerol,M+NH4,C,0.0481710156591274,bronze,3.181448346207654,0.2052024724703027,1.0,1.0,C51 H88 N1 O15
A15_110643,Streptophyta,True,TG(O-6:0_7:0_18:3),TG(O-6:0_7:0_18:3)+NH4,TG,alkyl-acyl,M+NH4,B,0.5822282143584117,silver,0.6323722998573886,0.2070527125146206,1.0,1.0,C34 H64 N1 O5
A15_110663,Streptophyta,False,,,,,,,,,,,,,
A15_110692,Streptophyta,True,DG(O-16:2_18:3),DG(O-16:2_18:3)+Na,DG,alkyl-acyl,M+Na,C,0.5160927080702892,silver,0.7031712537291505,0.0395070000000004,3.0,2.0,C37 H64 Na1 O4
A15_110703,Streptophyta,False,,,,,,,,,,,,,
A15_110727,Streptophyta,False,,,,,,,,,,,,,
A15_110734,Streptophyta,False,,,,,,,,,,,,,
A15_110754,Streptophyta,False,,,,,,,,,,,,,
A15_110777,Streptophyta,True,PG(P-18:4_14:1),PG(P-18:4_14:1)+H,PG,alkenyl-acyl,M+H,C,0.0944479633452401,bronze,0.7246330486743171,0.2067899999999998,1.0,1.0,C38 H66 O9 P1
A15_110812,Streptophyta,False,,,,,,,,,,,,,
A15_110851,Streptophyta,False,,,,,,,,,,,,,
A15_110859,Streptophyta,False,,,,,,,,,,,,,
A15_11086,Streptophyta,False,,,,,,,,,,,,,
A15_110887,Streptophyta,True,DG(P-37:7),DG(P-37:7)+H,DG,alkenyl-acyl,M+H,C,0.0958047534883044,bronze,1.0562635741372393,0.1722740000000016,1.0,1.0,C40 H65 O4
A15_110911,Streptophyta,True,PA(16:2_18:3),PA(16:2_18:3)+NH4,PA,diacyl,M+NH4,A,1.5355469648601496,silver,0.9674779290418408,0.1893860000000007,1.0,2.0,C37 H67 N1 O8 P1
A15_111019,Streptophyta,False,,,,,,,,,,,,,
A15_111028,Streptophyta,True,DG(16:0_18:3),DG(16:0_18:3)+NH4,DG,diacyl,M+NH4,A,0.7010448988409619,silver,1.626506984076346,0.0975429999999999,1.0,2.0,C37 H70 N1 O5
A15_111122,Streptophyta,False,,,,,,,,,,,,,
A15_111139,Streptophyta,False,,,,,,,,,,,,,
A15_111163,Streptophyta,True,DG(O-11:0_18:2),DG(O-11:0_18:2)+Na,DG,alkyl-acyl,M+Na,C,0.1775945180413859,bronze,4.196364779654735,0.1673037799086749,1.0,1.0,C32 H60 Na1 O4
A15_111181,Streptophyta,False,,,,,,,,,,,,,
A15_11121,Streptophyta,True,LPC(15:1),LPC(15:1)+H,LPC,monoacyl,M+H,C,2.9224296315102145,silver,0.1469947435948074,0.0888324981627355,16.0,5.0,C23 H47 N1 O7 P1
A15_111211,Streptophyta,False,,,,,,,,,,,,,
A15_111264,Streptophyta,True,TG(18:2_18:3),TG(18:2_18:3)+NH4,TG,triacyl,M+NH4,B,0.8355327396495782,gold,0.951775488630997,0.1634648247273276,6.0,3.0,C39 H68 N1 O6
