feature_id,phylum,matched,LipidMolec,LipidID,ClassKey,SubClassKey,Adduct,Grade,IDScore,tier,ls_ppm_diff,ls_rt_diff,n_samples_detected,n_candidates,IonFormula
NEG_29845,Arthropoda,True,OAHFA(18:1_20:5),OAHFA(18:1_20:5)-H,OAHFA,Fatty ethers,M-H,B,1.635109003311058,gold,0.6586953452012645,0.14349790344853552,2.0,2.0,C38 H61 O4
NEG_27460,Arthropoda,True,PS(2:0_18:1),PS(2:0_18:1)-H,PS,diacyl,M-H,B,0.09089400340627643,bronze,0.6476201300219574,0.1402454999999998,1.0,1.0,C26 H47 N1 O10 P1
NEG_101241,Arthropoda,False,,,,,,,,,,,,,
NEG_42532,Arthropoda,False,,,,,,,,,,,,,
NEG_6761,Arthropoda,False,,,,,,,,,,,,,
NEG_82976,Arthropoda,True,PC(O-20:0_20:5),PC(O-20:0_20:5)+HCOO,PC,alkyl-acyl,M+HCOO,B,1.2800450586224679,gold,1.0785379614572952,0.02846772357542804,2.0,6.0,C49 H89 N1 O9 P1
NEG_30152,Arthropoda,True,OAHFA(18:1_20:4),OAHFA(18:1_20:4)-H,OAHFA,Fatty ethers,M-H,B,1.3661531786062242,gold,1.1957459455413828,0.0851810000000004,2.0,1.0,C38 H63 O4
NEG_103028,Arthropoda,False,,,,,,,,,,,,,
NEG_48351,Arthropoda,False,,,,,,,,,,,,,
NEG_45283,Arthropoda,True,Cer(d40:2)+O:(s),Cer(d40:2)+HCOO+O:(s),Cer,acylsphingosines,M+HCOO,C,1.0,silver,1.0418105467485956,0.10182131314348197,13.0,2.0,C41 H78 N1 O6
NEG_57960,Arthropoda,False,,,,,,,,,,,,,
NEG_60498,Arthropoda,False,,,,,,,,,,,,,
NEG_9539,Arthropoda,False,,,,,,,,,,,,,
NEG_15385,Arthropoda,False,,,,,,,,,,,,,
NEG_52101,Arthropoda,False,,,,,,,,,,,,,
NEG_101285,Arthropoda,False,,,,,,,,,,,,,
NEG_46925,Arthropoda,True,Cer(d42:3),Cer(d42:3)+HCOO,Cer,acylsphingosines,M+HCOO,C,1.0,silver,2.1418360858270806,0.009969113299916899,3.0,2.0,C43 H80 N1 O5
NEG_96550,Arthropoda,False,,,,,,,,,,,,,
NEG_44820,Arthropoda,False,,,,,,,,,,,,,
NEG_3740,Arthropoda,True,FA(21:1),FA(21:1)-H,FA,Unsaturated fatty acids,M-H,C,0.34785122317040884,silver,0.1788859958185704,0.11829910486065565,5.0,1.0,C21 H39 O2
NEG_19297,Arthropoda,False,,,,,,,,,,,,,
NEG_66076,Arthropoda,False,,,,,,,,,,,,,
NEG_37866,Arthropoda,False,,,,,,,,,,,,,
NEG_69839,Arthropoda,False,,,,,,,,,,,,,
NEG_113382,Arthropoda,False,,,,,,,,,,,,,
NEG_21661,Arthropoda,False,,,,,,,,,,,,,
NEG_44210,Arthropoda,False,,,,,,,,,,,,,
NEG_42867,Arthropoda,False,,,,,,,,,,,,,
NEG_9416,Arthropoda,False,,,,,,,,,,,,,
NEG_101328,Arthropoda,False,,,,,,,,,,,,,
NEG_115379,Arthropoda,False,,,,,,,,,,,,,
NEG_67256,Arthropoda,False,,,,,,,,,,,,,
NEG_118136,Arthropoda,False,,,,,,,,,,,,,
NEG_69612,Arthropoda,True,SM(d38:1),SM(d38:1)+HCOO,SM,acyl,M+HCOO,C,0.47137684905042776,silver,2.4355485432709227,0.19949650000000219,2.0,1.0,C44 H88 N2 O8 P1
NEG_122380,Arthropoda,False,,,,,,,,,,,,,
NEG_38230,Arthropoda,True,Cer(d38:2),Cer(d38:2)+HCOO,Cer,acylsphingosines,M+HCOO,C,1.6931471805599454,silver,0.4164374483092636,0.012187697067545855,4.0,3.0,C39 H74 N1 O5
NEG_66009,Arthropoda,False,,,,,,,,,,,,,
NEG_35053,Arthropoda,False,,,,,,,,,,,,,
NEG_13672,Arthropoda,False,,,,,,,,,,,,,
NEG_38045,Arthropoda,False,,,,,,,,,,,,,
NEG_30421,Arthropoda,False,,,,,,,,,,,,,
NEG_30239,Arthropoda,False,,,,,,,,,,,,,
NEG_122372,Arthropoda,False,,,,,,,,,,,,,
NEG_20801,Arthropoda,True,PE(3:0_16:1),PE(3:0_16:1)-H,PE,diacyl,M-H,C,0.12847728785191218,bronze,0.26805989680606795,0.013482999999999912,1.0,2.0,C24 H45 N1 O8 P1
NEG_85063,Arthropoda,False,,,,,,,,,,,,,
NEG_23910,Arthropoda,False,,,,,,,,,,,,,
NEG_29659,Arthropoda,True,LPC(19:1),LPC(19:1)+HCOO,LPC,monoacyl,M+HCOO,A,2.1004294866754165,gold,0.33563284568255924,0.22502776690685078,15.0,1.0,C28 H55 N1 O9 P1
NEG_9895,Arthropoda,False,,,,,,,,,,,,,
NEG_81087,Arthropoda,False,,,,,,,,,,,,,
NEG_31418,Arthropoda,True,PS(4:0_18:1),PS(4:0_18:1)-H,PS,diacyl,M-H,B,0.2041317958784213,gold,0.3489171696764645,0.001947115234015584,2.0,1.0,C28 H51 N1 O10 P1
NEG_31034,Arthropoda,False,,,,,,,,,,,,,
NEG_45315,Arthropoda,False,,,,,,,,,,,,,
NEG_50651,Arthropoda,False,,,,,,,,,,,,,
NEG_29832,Arthropoda,False,,,,,,,,,,,,,
NEG_38232,Arthropoda,True,Cer(d16:2_22:0),Cer(d16:2_22:0)+HCOO,Cer,acylsphingosines,M+HCOO,A,0.6506521988709372,gold,0.7753776808423725,0.022162844497053413,2.0,3.0,C39 H74 N1 O5
NEG_11309,Arthropoda,False,,,,,,,,,,,,,
NEG_34778,Arthropoda,False,,,,,,,,,,,,,
NEG_39795,Arthropoda,False,,,,,,,,,,,,,
NEG_41897,Arthropoda,False,,,,,,,,,,,,,
NEG_57743,Arthropoda,False,,,,,,,,,,,,,
NEG_10457,Arthropoda,False,,,,,,,,,,,,,
NEG_18011,Arthropoda,False,,,,,,,,,,,,,
NEG_10560,Arthropoda,False,,,,,,,,,,,,,
NEG_73478,Arthropoda,False,,,,,,,,,,,,,
NEG_32252,Arthropoda,False,,,,,,,,,,,,,
NEG_102669,Arthropoda,False,,,,,,,,,,,,,
NEG_100641,Arthropoda,False,,,,,,,,,,,,,
NEG_95979,Arthropoda,False,,,,,,,,,,,,,
NEG_84644,Arthropoda,False,,,,,,,,,,,,,
NEG_30422,Arthropoda,False,,,,,,,,,,,,,
NEG_26445,Arthropoda,True,OAHFA(18:2_18:3),OAHFA(18:2_18:3)-H,OAHFA,Fatty ethers,M-H,B,1.6322143160132543,gold,0.5853914382914733,0.2014289999999992,3.0,3.0,C36 H59 O4
NEG_13263,Arthropoda,False,,,,,,,,,,,,,
NEG_23517,Arthropoda,False,,,,,,,,,,,,,
NEG_22816,Arthropoda,True,LPC(O-16:1),LPC(O-16:1)+HCOO,LPC,monoalkyl,M+HCOO,A,0.8047762688967545,gold,0.47981837737554167,0.25403269026511754,4.0,1.0,C25 H51 N1 O8 P1
NEG_37925,Arthropoda,False,,,,,,,,,,,,,
NEG_42323,Arthropoda,False,,,,,,,,,,,,,
NEG_75654,Arthropoda,False,,,,,,,,,,,,,
NEG_45931,Arthropoda,False,,,,,,,,,,,,,
NEG_48805,Arthropoda,False,,,,,,,,,,,,,
NEG_28759,Arthropoda,False,,,,,,,,,,,,,
NEG_27743,Arthropoda,False,,,,,,,,,,,,,
NEG_42534,Arthropoda,False,,,,,,,,,,,,,
NEG_34161,Arthropoda,False,,,,,,,,,,,,,
NEG_118077,Arthropoda,False,,,,,,,,,,,,,
NEG_41377,Arthropoda,False,,,,,,,,,,,,,
NEG_26251,Arthropoda,True,LPC(17:0),LPC(17:0)+HCOO,LPC,monoacyl,M+HCOO,A,1.427199449074343,gold,1.098412833335476,0.031065500000000412,10.0,1.0,C26 H53 N1 O9 P1
NEG_23480,Arthropoda,False,,,,,,,,,,,,,
NEG_5565,Arthropoda,False,,,,,,,,,,,,,
NEG_44990,Arthropoda,False,,,,,,,,,,,,,
NEG_16499,Arthropoda,False,,,,,,,,,,,,,
NEG_107726,Arthropoda,False,,,,,,,,,,,,,
NEG_99837,Arthropoda,False,,,,,,,,,,,,,
NEG_18255,Arthropoda,False,,,,,,,,,,,,,
NEG_3739,Arthropoda,True,FA(21:1),FA(21:1)-H,FA,Unsaturated fatty acids,M-H,C,0.34785122317040884,silver,0.3981116580091584,0.014373895139344839,5.0,1.0,C21 H39 O2
NEG_44798,Arthropoda,False,,,,,,,,,,,,,
NEG_5038,Arthropoda,False,,,,,,,,,,,,,
NEG_17238,Arthropoda,False,,,,,,,,,,,,,
NEG_12665,Arthropoda,False,,,,,,,,,,,,,
NEG_10539,Arthropoda,False,,,,,,,,,,,,,
NEG_12092,Arthropoda,False,,,,,,,,,,,,,
NEG_101240,Arthropoda,False,,,,,,,,,,,,,
NEG_71287,Arthropoda,True,PG(19:0_20:4),PG(19:0_20:4)-H,PG,diacyl,M-H,C,0.7417095335722402,bronze,2.2027157200449734,0.041175299999999915,1.0,1.0,C45 H80 O10 P1
NEG_28247,Arthropoda,False,,,,,,,,,,,,,
NEG_41256,Arthropoda,False,,,,,,,,,,,,,
NEG_70227,Arthropoda,True,PS(O-19:2_20:4),PS(O-19:2_20:4)-H,PS,alkyl-acyl,M-H,C,0.3548133316417602,bronze,0.7790159501346142,0.11264699999999905,1.0,1.0,C45 H77 N1 O9 P1
NEG_121350,Arthropoda,False,,,,,,,,,,,,,
NEG_75194,Arthropoda,False,,,,,,,,,,,,,
NEG_67221,Arthropoda,False,,,,,,,,,,,,,
NEG_11045,Arthropoda,False,,,,,,,,,,,,,
NEG_121331,Arthropoda,False,,,,,,,,,,,,,
NEG_53829,Arthropoda,True,PC(16:1_17:1),PC(16:1_17:1)-CH3,PC,diacyl,M-CH3,C,0.42802016679788224,silver,0.03329727577184505,0.12831093802647686,2.0,2.0,C40 H75 N1 O8 P1
NEG_27412,Arthropoda,False,,,,,,,,,,,,,
