soil_id,feature_id,soil_pepmass,phylum,kingdom,max_cosine,confirmed
10814,NEG_67604,795.5041085528036,Actinomycetota,Bacteria,0.44708969773097973,False
10831,NEG_60159,761.4616818571968,Actinomycetota,Bacteria,0.3897002851777103,False
10830,NEG_29327,577.4844250138468,Actinomycetota,Bacteria,0.1697916849644873,False
10838,NEG_61022,765.5178830935688,Discosea,Protozoa,0.0,False
10859,NEG_8779,397.36911456982136,Basidiomycota,Fungi,0.9436840479071719,True
10872,NEG_56661,743.4884433849817,Actinomycetota,Bacteria,0.864733857671519,True
10882,NEG_47344,693.4486763665687,Actinomycetota,Bacteria,0.8218877718613515,True
10876,NEG_28330,570.4746434305706,Chlorophyta,Plantae,0.9899868156060603,True
10886,NEG_27027,560.4453548123355,Pseudomonadota,Bacteria,0.0,False
10884,NEG_22850,524.4688580054282,Basidiomycota,Fungi,0.672044690453736,False
10892,NEG_61415,767.5082765251645,Actinomycetota,Bacteria,0.0,False
10895,NEG_57698,748.5144627826312,Actinomycetota,Bacteria,0.0,False
10914,NEG_96138,961.5349359674948,Chlorophyta,Plantae,0.0,False
10917,NEG_66666,791.4995860924403,Actinomycetota,Bacteria,0.031161265474721866,False
10923,NEG_28740,573.4531915292457,Basidiomycota,Fungi,0.6193709992117777,False
10925,NEG_12979,439.4163673221228,Streptophyta,Plantae,0.9439262092838088,True
10907,NEG_25748,549.4528573292554,Streptophyta,Plantae,0.0,False
10948,NEG_9829,409.3691487622686,Streptophyta,Plantae,0.8977956842746249,True
10937,NEG_47337,693.4417982060547,Mucoromycota,Fungi,0.32429444491509013,False
10954,NEG_62999,774.5305498841718,Actinomycetota,Bacteria,0.0,False
10955,NEG_34442,612.432946686165,Chlorophyta,Plantae,0.31699257901151723,False
10961,NEG_38713,639.4968416655637,Basidiomycota,Fungi,0.3834924456019766,False
10953,NEG_78070,842.5182250100862,Mucoromycota,Fungi,0.8006508148426702,True
10962,NEG_55265,736.4907835918738,Actinomycetota,Bacteria,0.8096147036676817,True
10964,NEG_46208,686.4774679234802,Actinomycetota,Bacteria,0.5553375936669881,False
10967,NEG_58731,754.4652831929482,Pseudomonadota,Bacteria,0.0,False
