sample_id,column_name,climate,drought,treatment,Bacteria,Archaea,Fungi,Plantae,Animalia,Protozoa
49,OE12-3-49POS.raw Peak area,Ambient,Drought,Ambient_Drought,0.3951374611010898,0.016594615191253,0.276195857224803,0.10934164474554191,0.15698847183881962,0.0457419498984917
19,OE12-3-19POS.raw Peak area,Ambient,No_drought,Ambient_Control,0.4024275409897174,0.0437599505118912,0.2880568778082485,0.0900412857644068,0.13644633803184547,0.03926800689389
22,OE12-3-22POS.raw Peak area,Ambient,No_drought,Ambient_Control,0.3732470273776814,0.0769542752315789,0.2587695563964519,0.11091948186336881,0.14148157094989852,0.0386280881810196
43,OE12-3-43POS.raw Peak area,Future,Drought,Future_Drought,0.3790733758978768,0.0731677398520057,0.2702013419617076,0.1133760837235076,0.1259111038380092,0.0382703547268923
48,OE12-3-48POS.raw Peak area,Future,Drought,Future_Drought,0.3569487751777516,0.0755524415982264,0.3029453914192769,0.0849311917127803,0.14068991816703208,0.0389322819249319
44,OE12-3-44POS.raw Peak area,Ambient,Drought,Ambient_Drought,0.3904109331151005,0.0977040418411664,0.2424931765779092,0.0866919619418983,0.1464602360733306,0.0362396504505942
40,OE12-3-40POS.raw Peak area,Future,No_drought,Future_Control,0.3849771313077875,0.0781687811433899,0.2697399138628461,0.0719921631607999,0.1537063301232992,0.041415680401876404
27,OE12-3-27POS.raw Peak area,Future,Drought,Future_Drought,0.4125865772259487,0.037856574280911104,0.2875359388666428,0.0904918984344699,0.135359068315621,0.0361699428764059
28,OE12-3-28POS.raw Peak area,Ambient,Drought,Ambient_Drought,0.37375292720555037,0.0181880388167929,0.2487435714548648,0.10982558245646709,0.19539288241698108,0.054096997649342796
35,OE12-3-35POS.raw Peak area,Future,No_drought,Future_Control,0.40125329562859136,0.0499515529182323,0.25233584480691557,0.09127861865298649,0.1604258549383257,0.0447548330549479
36,OE12-3-36POS.raw Peak area,Ambient,No_drought,Ambient_Control,0.3564525088897478,0.0659104536775456,0.3215468917436656,0.07671689140608319,0.1389507041299014,0.0404225501530555
52,OE12-3-52POS.raw Peak area,Future,No_drought,Future_Control,0.36032066511973604,0.0305426633821173,0.3205489789939302,0.1158934378989357,0.1339281743553096,0.0387660802499705
