kingdom,mean,ci_lo,ci_hi
Animalia,0.14221095697270628,0.11744344170531938,0.17616232152469155
Archaea,0.002953777039603325,0.000907410039345674,0.0037960898659465665
Bacteria,0.1866425114784417,0.11966643856732744,0.22357782976523377
Fungi,0.27275636830328165,0.16061109455715702,0.3134056449031277
Plantae,0.286347224292872,0.25902398390446224,0.3510662708442973
Protozoa,0.10908916191309495,0.0966677685572381,0.14420599224416164
