feature_id,query_mz,archlips_name,archlips_mz,archlips_formula,archlips_adduct,archlips_smiles,archlips_confidence,mass_error_ppm,cosine,matched_peaks,query_n_peaks,ref_n_peaks,archlips_tier,phylum,kingdom
A15_OE21-4-POS_166866,834.65499,PS-Archaeol(20:0(OH)_20:1),834.65825,C46H92NO9P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO[C@H](COCCC(C)(O)CCCC(C)CCCC(C)CCCC(C)C)COP(O)(=O)OCC(N)C(O)=O,1,-3.9057901841319413,0.9206343712426777,5,22,12,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_167168,826.63237,PG-Archaeol(20:2(Me)_20:4),826.63203,C47H85O8P,[M+NH4]+,CC(C)CCCC(C)CCC\C(C)=C\C(C)C\C(C)=C\COC[C@H](COP(O)(=O)OCC(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,0.41130755609733294,0.9345510578329487,4,19,52,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_168191,816.63082,PC-Archaeol(20:4(Me)_20:4),816.62655,C49H86NO6P,[M+H]+,CC(C\C(C)=C\COC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)\C=C(/C)CC\C=C(/C)CCC=C(C)C,5,5.2288282814458285,0.5199385808840835,14,60,31,Silver,Methanobacteriota,Archaea
A15_OE21-4-POS_169076,545.5079,phytoene,545.50808,C40H64,[M+H]+,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C=C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,4,-0.32996761477903513,0.7266975498342712,27,110,53,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_169611,784.62054,PE-Archaeol(20:0(OH)_20:4),784.62147,C45H86NO7P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)CCOC[C@H](COP(O)(=O)OCCN)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,-1.1852849247668422,0.43204764424202025,2,64,13,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_173226,784.6216,PE-Archaeol(20:0(OH)_20:4),784.62147,C45H86NO7P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)CCOC[C@H](COP(O)(=O)OCCN)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,0.16568498934799122,0.33930777709615484,3,33,13,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_173852,982.71792,Gly-Calditol-Archaeol(20:2_20:4),982.71891,C55H96O13,[M+NH4]+,CC(C)CCCC(C)CCC\C(C)=C\CC\C(C)=C\COC[C@H](COC1C(O)C(O)C(O)C1(O)COC1OC(CO)C(O)C(O)C1O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,5,-1.0074091278060382,0.8146660376851513,7,56,48,Gold,Methanobacteriota,Archaea
A15_OE21-4-POS_176694,818.65141,Calditol-Archaeol(20:3_20:4),818.65044,C49H84O8,[M+NH4]+,CC(C)CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COC[C@H](COC1C(O)C(O)C(O)C1(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,3,1.184876905522821,0.3458969988201307,20,101,41,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_178742,790.66798,PE-Archaeol(20:1(OH)_20:0),790.66842,C45H92NO7P,[M+H]+,CC(C)CCCC(C)CCCC(C)CCCC(C)CCO[C@H](COCCC(C)(O)CC\C=C(/C)CCCC(C)CCCC(C)C)COP(O)(=O)OCCN,1,-0.5564911774596678,0.7366264588870886,2,30,12,Bronze,Methanobacteriota,Archaea
A15_OE21-4-POS_179188,816.64598,PG-Archaeol(20:1_20:3),816.64768,C46H87O8P,[M+NH4]+,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\COC[C@H](COP(O)(=O)OCC(O)CO)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCCC(C)C,3,-2.081681050055775,0.8382918356665,20,91,54,Gold,Methanobacteriota,Archaea
