mode,phylum_1,phylum_2,group_1,group_2,rank_1,rank_2,n_detected_1,n_detected_2,n_shared,frac_of_smaller,jaccard
POS,Thermoproteota,Chlorophyta,Archaea,Viridiplantae,5,12,8046,33747,6826,0.8484,0.1952
POS,Thermoproteota,Streptophyta,Archaea,Viridiplantae,5,13,8046,40012,7641,0.9497,0.1891
POS,Thermoproteota,Arthropoda,Archaea,Animalia,5,14,8046,41348,7371,0.9161,0.1754
POS,Thermoproteota,Mollusca,Archaea,Animalia,5,15,8046,20031,4450,0.5531,0.1883
POS,Thermoproteota,Nematoda,Archaea,Animalia,5,16,8046,20087,5385,0.6693,0.2367
POS,Discosea,Evosea,Protists,Protists,6,7,11915,9541,7283,0.7633,0.5139
POS,Discosea,Heterolobosea,Protists,Protists,6,8,11915,10343,7224,0.6984,0.4805
POS,Discosea,Mucoromycota,Protists,Fungi,6,9,11915,12875,3821,0.3207,0.1822
POS,Discosea,Ascomycota,Protists,Fungi,6,10,11915,36490,9768,0.8198,0.2528
POS,Discosea,Basidiomycota,Protists,Fungi,6,11,11915,33937,9111,0.7647,0.248
POS,Discosea,Chlorophyta,Protists,Viridiplantae,6,12,11915,33747,9267,0.7778,0.2546
POS,Discosea,Streptophyta,Protists,Viridiplantae,6,13,11915,40012,9991,0.8385,0.2382
POS,Discosea,Arthropoda,Protists,Animalia,6,14,11915,41348,11292,0.9477,0.269
POS,Discosea,Mollusca,Protists,Animalia,6,15,11915,20031,6858,0.5756,0.2734
POS,Discosea,Nematoda,Protists,Animalia,6,16,11915,20087,8112,0.6808,0.3396
POS,Evosea,Heterolobosea,Protists,Protists,7,8,9541,10343,7146,0.749,0.561
POS,Evosea,Mucoromycota,Protists,Fungi,7,9,9541,12875,2508,0.2629,0.126
POS,Evosea,Ascomycota,Protists,Fungi,7,10,9541,36490,7461,0.782,0.1934
POS,Evosea,Basidiomycota,Protists,Fungi,7,11,9541,33937,7151,0.7495,0.1969
POS,Evosea,Chlorophyta,Protists,Viridiplantae,7,12,9541,33747,7079,0.742,0.1955
