feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_83723,803.543642,8.2819,4,Bacillota,Bacteria,22,40,0.88,0.3548,0.7122,3.754,731601.3,53283.6,3,1.0,62.28,25,3,Silver,Silver
A15_170217,693.524874,16.1115,4,Bacillota,Bacteria,24,37,0.96,0.3934,0.7338,4.542,14355692.6,615437.0,2,0.6667,62.22,25,3,Silver,Silver
A15_158272,712.489516,14.9997,4,Bacillota,Bacteria,19,25,0.76,0.4318,0.8201,3.436,364456.7,32763.9,3,1.0,62.03,25,3,Silver,Silver
A15_112397,500.446001,10.9163,4,Bacillota,Bacteria,19,11,0.76,0.6333,0.9209,2.361,354658.1,68216.7,2,0.6667,61.93,25,3,Silver,Silver
A15_163659,565.519526,15.3589,4,Bacillota,Bacteria,23,25,0.92,0.4792,0.8201,3.173,744605.6,81680.8,2,0.6667,61.92,25,3,Silver,Silver
A15_93530,690.470215,9.2009,4,Bacillota,Bacteria,13,13,0.52,0.5,0.9065,4.886,190340.4,5472.7,3,1.0,61.84,25,3,Silver,Silver
A15_219312,800.72515,21.068,3,Bacillota,Bacteria,18,10,0.72,0.6429,0.9281,2.632,322771.9,51221.4,2,0.6667,61.83,25,3,Silver,Silver
A15_116124,500.445828,11.1861,4,Bacillota,Bacteria,18,16,0.72,0.5294,0.8849,4.477,1068606.8,47026.8,2,0.6667,61.69,25,3,Silver,Silver
A15_156699,741.548388,14.9444,4,Bacillota,Bacteria,14,18,0.56,0.4375,0.8705,5.414,10062142.9,235055.2,3,1.0,61.66,25,3,Silver,Silver
A15_206653,798.712797,19.416,4,Bacillota,Bacteria,20,16,0.8,0.5556,0.8849,3.066,1335059.9,158497.2,2,0.6667,61.65,25,3,Silver,Silver
A15_132809,717.467842,12.7442,3,Bacillota,Bacteria,10,4,0.4,0.7143,0.9712,5.22,602105.7,15177.5,2,0.6667,61.58,25,3,Silver,Silver
