feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_212183,800.727162,19.8197,4,Bacillota,Bacteria,23,18,0.92,0.561,0.8705,3.068,1317239.8,156218.3,3,1.0,69.67,25,3,Silver,Silver
A15_196938,827.738374,18.5727,4,Bacillota,Bacteria,22,14,0.88,0.6111,0.8993,2.572,821813.1,137327.4,3,1.0,69.47,25,3,Silver,Silver
A15_219440,1324.927623,21.2489,4,Bacillota,Bacteria,15,4,0.6,0.7895,0.9712,5.506,1876141.6,40298.5,2,0.6667,69.41,25,3,Silver,Silver
A15_107245,465.408906,10.4671,3,Bacillota,Bacteria,19,8,0.76,0.7037,0.9424,4.914,861098.2,27600.5,2,0.6667,69.36,25,3,Silver,Silver
A15_130455,710.495774,12.5404,4,Bacillota,Bacteria,23,20,0.92,0.5349,0.8561,3.319,5378068.9,538101.5,3,1.0,69.25,25,3,Silver,Silver
A15_199497,827.738565,18.6353,4,Bacillota,Bacteria,22,14,0.88,0.6111,0.8993,2.426,821813.1,152095.6,3,1.0,69.18,25,3,Silver,Silver
A15_216549,1270.879765,20.4934,4,Bacillota,Bacteria,13,2,0.52,0.8667,0.9856,2.601,875258.5,143431.0,3,1.0,69.06,25,3,Silver,Silver
A15_199542,747.680458,18.5703,4,Bacillota,Bacteria,24,22,0.96,0.5217,0.8417,2.979,2880535.3,364348.0,3,1.0,69.03,25,3,Silver,Silver
A15_141254,650.47554,13.6252,4,Bacillota,Bacteria,22,34,0.88,0.3929,0.7554,6.167,25772365.0,357649.4,3,1.0,68.67,25,3,Silver,Silver
A15_200018,765.689975,18.5908,4,Bacillota,Bacteria,23,20,0.92,0.5349,0.8561,3.013,980753.4,120579.5,3,1.0,68.63,25,3,Silver,Silver
A15_167934,703.470042,15.8288,4,Bacillota,Bacteria,18,3,0.72,0.8571,0.9784,2.533,758189.6,130137.0,2,0.6667,68.57,25,3,Silver,Silver
A15_223991,1366.973985,22.221,4,Bacillota,Bacteria,18,10,0.72,0.6429,0.9281,3.479,948906.4,84182.7,3,1.0,68.52,25,3,Silver,Silver
A15_189082,572.524673,17.6771,3,Bacillota,Bacteria,23,12,0.92,0.6571,0.9137,3.309,979463.8,97958.7,2,0.6667,68.47,25,3,Silver,Silver
A15_153371,523.471564,14.4632,5,Bacillota,Bacteria,24,35,0.96,0.4068,0.7482,4.881,14532217.3,492216.6,3,1.0,68.45,25,3,Silver,Silver
A15_199495,805.680943,18.6005,4,Bacillota,Bacteria,23,27,0.92,0.46,0.8058,4.27,806144.8,40821.9,3,1.0,68.4,25,3,Silver,Silver
A15_130637,693.46928,12.5663,4,Bacillota,Bacteria,22,19,0.88,0.5366,0.8633,3.326,1320962.9,130838.0,3,1.0,68.38,25,3,Silver,Silver
A15_142780,722.498899,13.6407,4,Bacillota,Bacteria,17,12,0.68,0.5862,0.9137,4.754,473898.8,16599.2,3,1.0,68.23,25,3,Silver,Silver
A15_127952,712.514395,12.3567,3,Bacillota,Bacteria,15,11,0.6,0.5769,0.9209,8.34,10936766.9,32762.0,2,0.6667,68.2,25,3,Silver,Silver
A15_130868,695.486115,12.6524,3,Bacillota,Bacteria,16,16,0.64,0.5,0.8849,9.163,8910586.5,14545.8,2,0.6667,68.17,25,3,Silver,Silver
A15_149947,727.531432,14.3991,4,Bacillota,Bacteria,23,20,0.92,0.5349,0.8561,2.77,6381950.1,934901.8,3,1.0,68.15,25,3,Silver,Silver
A15_138659,586.503899,13.2376,4,Bacillota,Bacteria,22,22,0.88,0.5,0.8417,3.857,824131.0,55940.9,3,1.0,68.13,25,3,Silver,Silver
A15_223898,1340.958775,22.0183,3,Bacillota,Bacteria,19,7,0.76,0.7308,0.9496,3.834,6647619.6,465142.4,2,0.6667,68.09,25,3,Silver,Silver
A15_128767,285.24179,12.4638,4,Bacillota,Bacteria,21,17,0.84,0.5526,0.8777,3.361,479020.8,45709.6,3,1.0,68.08,25,3,Silver,Silver
A15_160222,712.489524,15.0832,4,Bacillota,Bacteria,23,23,0.92,0.5,0.8345,3.298,864016.0,86970.6,3,1.0,67.94,25,3,Silver,Silver
A15_107910,505.402233,10.3304,4,Bacillota,Bacteria,19,4,0.76,0.8261,0.9712,2.206,373964.2,80260.2,2,0.6667,67.91,25,3,Silver,Silver
A15_130594,285.241758,12.6025,4,Bacillota,Bacteria,19,14,0.76,0.5758,0.8993,3.803,503622.8,35152.6,3,1.0,67.87,25,3,Silver,Silver
A15_161920,678.506268,15.249,5,Bacillota,Bacteria,24,46,0.96,0.3429,0.6691,5.902,19418577.6,323724.5,3,1.0,67.78,25,3,Silver,Silver
A15_146780,536.474749,14.0918,3,Bacillota,Bacteria,22,16,0.88,0.5789,0.8849,4.744,959651.5,34852.9,2,0.6667,67.71,25,3,Silver,Silver
A15_176216,507.405438,16.7254,3,Bacillota,Bacteria,20,9,0.8,0.6897,0.9353,3.717,101124.6,6765.9,2,0.6667,67.48,25,3,Silver,Silver
A15_220333,1324.927419,21.2974,4,Bacillota,Bacteria,15,5,0.6,0.75,0.964,4.982,1876141.6,58395.2,2,0.6667,67.1,25,3,Silver,Silver
A15_163699,703.469603,15.4996,4,Bacillota,Bacteria,18,5,0.72,0.7826,0.964,2.982,358373.9,44470.6,2,0.6667,67.08,25,3,Silver,Silver
A15_163387,678.505842,15.4979,5,Bacillota,Bacteria,24,52,0.96,0.3158,0.6259,6.175,18066768.0,248973.7,3,1.0,67.08,25,3,Silver,Silver
A15_131045,636.459526,12.7432,4,Bacillota,Bacteria,22,28,0.88,0.44,0.7986,4.437,8536265.5,393124.7,3,1.0,67.06,25,3,Silver,Silver
A15_144683,1405.976521,13.6228,3,Bacillota,Bacteria,18,5,0.72,0.7826,0.964,2.967,443620.2,55873.0,2,0.6667,67.05,25,3,Silver,Silver
A15_160313,750.525324,15.1227,5,Bacillota,Bacteria,23,44,0.92,0.3433,0.6835,5.941,2620954.0,41672.1,3,1.0,67.02,25,3,Silver,Silver
A15_141700,521.455989,13.5617,4,Bacillota,Bacteria,25,31,1.0,0.4464,0.777,2.914,540976.6,70911.5,3,1.0,66.99,25,3,Silver,Silver
A15_148446,536.474278,14.1497,3,Bacillota,Bacteria,22,19,0.88,0.5366,0.8633,5.093,959651.5,27144.4,2,0.6667,66.92,25,3,Silver,Silver
A15_165554,703.469831,15.7293,4,Bacillota,Bacteria,18,4,0.72,0.8182,0.9712,2.316,501034.1,99851.2,2,0.6667,66.89,25,3,Silver,Silver
A15_221261,1312.927002,21.4333,3,Bacillota,Bacteria,17,7,0.68,0.7083,0.9496,4.556,5461849.1,231216.9,2,0.6667,66.86,25,3,Silver,Silver
A15_153933,696.47102,14.8331,3,Bacillota,Bacteria,20,9,0.8,0.6897,0.9353,3.392,103220.5,8925.6,2,0.6667,66.83,25,3,Silver,Silver
A15_223398,1352.959243,21.9168,3,Bacillota,Bacteria,18,5,0.72,0.7826,0.964,2.832,2644261.5,370577.8,2,0.6667,66.78,25,3,Silver,Silver
A15_224820,768.706068,22.6569,4,Bacillota,Bacteria,25,44,1.0,0.3623,0.6835,4.408,636349.6,29025.9,3,1.0,66.52,25,3,Silver,Silver
A15_169193,692.521214,15.9882,5,Bacillota,Bacteria,25,41,1.0,0.3788,0.705,3.997,32120653.5,2011173.0,3,1.0,66.41,25,3,Silver,Silver
A15_162311,586.518445,15.464,5,Bacillota,Bacteria,22,20,0.88,0.5238,0.8561,2.481,1362878.9,243382.8,3,1.0,66.24,25,3,Silver,Silver
A15_226458,782.722008,23.0914,4,Bacillota,Bacteria,25,51,1.0,0.3289,0.6331,4.997,1620484.4,49779.6,3,1.0,66.19,25,3,Silver,Silver
A15_150603,664.489426,14.4097,5,Bacillota,Bacteria,24,50,0.96,0.3243,0.6403,5.504,125967335.7,2774791.5,3,1.0,66.14,25,3,Silver,Silver
A15_222266,1329.955346,21.665,3,Bacillota,Bacteria,14,3,0.56,0.8235,0.9784,3.826,1709717.9,119613.7,2,0.6667,66.14,25,3,Silver,Silver
A15_128356,720.48054,12.4958,3,Bacillota,Bacteria,15,7,0.6,0.6818,0.9496,5.592,311241.5,5472.3,2,0.6667,66.14,25,3,Silver,Silver
A15_118198,689.436537,11.4075,4,Bacillota,Bacteria,11,3,0.44,0.7857,0.9784,3.372,609314.8,57937.7,3,1.0,66.1,25,3,Silver,Silver
A15_219607,1310.911627,21.185,3,Bacillota,Bacteria,15,4,0.6,0.7895,0.9712,3.841,657197.4,44924.8,2,0.6667,66.08,25,3,Silver,Silver
A15_146928,698.474744,14.1688,3,Bacillota,Bacteria,19,9,0.76,0.6786,0.9353,3.475,337647.8,29448.3,2,0.6667,65.66,25,3,Silver,Silver
A15_149279,537.488043,14.2344,4,Bacillota,Bacteria,25,37,1.0,0.4032,0.7338,3.091,38929922.1,4568513.3,3,1.0,65.62,25,3,Silver,Silver
A15_220916,1324.927725,21.3155,4,Bacillota,Bacteria,15,5,0.6,0.75,0.964,4.175,1876141.6,102889.4,2,0.6667,65.49,25,3,Silver,Silver
A15_158408,700.489529,15.1982,3,Bacillota,Bacteria,19,7,0.76,0.7308,0.9496,2.526,1253971.3,216914.6,2,0.6667,65.47,25,3,Silver,Silver
A15_102749,500.445932,10.0604,4,Bacillota,Bacteria,18,11,0.72,0.6207,0.9209,4.789,579718.2,20008.2,2,0.6667,65.41,25,3,Silver,Silver
A15_164671,678.506029,15.5649,5,Bacillota,Bacteria,24,50,0.96,0.3243,0.6403,5.133,13389332.8,380620.3,3,1.0,65.4,25,3,Silver,Silver
A15_154166,535.471559,14.6065,4,Bacillota,Bacteria,22,32,0.88,0.4074,0.7698,4.174,5318430.4,293590.2,3,1.0,65.27,25,3,Silver,Silver
A15_218423,763.674804,20.711,3,Bacillota,Bacteria,18,6,0.72,0.75,0.9568,2.596,224094.5,36238.7,2,0.6667,65.26,25,3,Silver,Silver
A15_152284,535.471516,14.4631,4,Bacillota,Bacteria,22,30,0.88,0.4231,0.7842,3.847,2661630.0,183994.2,3,1.0,65.23,25,3,Silver,Silver
A15_153569,676.490703,14.5404,4,Bacillota,Bacteria,24,50,0.96,0.3243,0.6403,5.021,50886097.3,1566446.3,3,1.0,65.17,25,3,Silver,Silver
A15_135655,709.525295,13.0358,3,Bacillota,Bacteria,19,8,0.76,0.7037,0.9424,2.813,219719.5,30409.6,2,0.6667,65.16,25,3,Silver,Silver
A15_225602,768.706359,22.74,4,Bacillota,Bacteria,25,51,1.0,0.3289,0.6331,4.454,636349.6,28085.5,3,1.0,65.11,25,3,Silver,Silver
A15_127172,636.459796,12.535,3,Bacillota,Bacteria,19,21,0.76,0.475,0.8489,6.673,7661251.6,74082.2,2,0.6667,65.09,25,3,Silver,Silver
A15_214119,1244.864991,20.2444,4,Bacillota,Bacteria,13,4,0.52,0.7647,0.9712,2.204,319351.4,68520.2,3,1.0,65.06,25,3,Silver,Silver
A15_138580,521.456034,13.3329,4,Bacillota,Bacteria,24,33,0.96,0.4211,0.7626,2.892,648548.6,86530.1,3,1.0,65.04,25,3,Silver,Silver
A15_149594,726.527814,14.3017,4,Bacillota,Bacteria,23,24,0.92,0.4894,0.8273,4.527,49182823.4,2132831.8,2,0.6667,65.01,25,3,Silver,Silver
A15_120544,661.463,11.562,3,Bacillota,Bacteria,19,8,0.76,0.7037,0.9424,2.569,190554.8,31285.2,2,0.6667,64.67,25,3,Silver,Silver
A15_222043,1328.952039,21.5062,4,Bacillota,Bacteria,14,5,0.56,0.7368,0.964,4.451,3275778.1,148784.2,2,0.6667,64.65,25,3,Silver,Silver
A15_133023,739.526557,12.7788,4,Bacillota,Bacteria,18,14,0.72,0.5625,0.8993,2.851,284548.2,38587.5,3,1.0,64.57,25,3,Silver,Silver
A15_129718,661.463182,12.561,3,Bacillota,Bacteria,22,16,0.88,0.5789,0.8849,3.177,266070.8,28522.6,2,0.6667,64.57,25,3,Silver,Silver
A15_221536,1326.943156,21.6025,3,Bacillota,Bacteria,13,6,0.52,0.6842,0.9568,5.731,9444807.5,176894.0,2,0.6667,64.56,25,3,Silver,Silver
A15_152676,676.490626,14.4506,4,Bacillota,Bacteria,24,48,0.96,0.3333,0.6547,4.423,28185911.7,1313406.2,3,1.0,64.39,25,3,Silver,Silver
A15_130383,509.457622,12.5776,5,Bacillota,Bacteria,25,53,1.0,0.3205,0.6187,4.222,20523543.7,1098991.9,3,1.0,64.25,25,3,Silver,Silver
