feature_id,phylum,n_batches_indicator,mean_indval,min_indval,mean_A,mean_B,batches,kingdom
A15_57254,Streptophyta,2,0.7825214817389792,0.7745966692414834,0.9373637408505233,0.6571428571428571,"batch_01_OE11-3-POS,batch_02_OE21-4-POS",Viridiplantae
A15_87206,Streptophyta,2,0.782514106171581,0.6509980716856794,0.911144963189503,0.6785714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_76697,Streptophyta,2,0.7824535995027309,0.6706238393671301,0.9495755385062737,0.65,"batch_01_OE11-3-POS,batch_03_OE23-POS",Viridiplantae
A15_40131,Streptophyta,2,0.7824491000099869,0.6393863590700954,0.7144565251846555,0.8571428571428572,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_56536,Streptophyta,3,0.7824209868584996,0.5369214728188669,0.7191500850055031,0.8857142857142857,"batch_01_OE11-3-POS,batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_203729,Streptophyta,2,0.7823368509899018,0.6987739569603023,0.8631762271383769,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_211910,Streptophyta,2,0.7823004543131409,0.6752758284934615,0.6234482713503889,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_173774,Pseudomonadota,2,0.7822833623522577,0.6782614874215203,0.8528071321368862,0.75,"batch_04_OE26-1POS,batch_06_ALL-25-2",Bacteria
A15_174537,Pseudomonadota,2,0.7822833623522577,0.6782614874215203,0.8528071321368862,0.75,"batch_04_OE26-1POS,batch_06_ALL-25-2",Bacteria
A15_170787,Pseudomonadota,2,0.7822833623522577,0.6782614874215203,0.8528071321368862,0.75,"batch_04_OE26-1POS,batch_06_ALL-25-2",Bacteria
A15_172607,Pseudomonadota,2,0.7822833623522577,0.6782614874215203,0.8528071321368862,0.75,"batch_04_OE26-1POS,batch_06_ALL-25-2",Bacteria
A15_174594,Streptophyta,2,0.7822209200789825,0.6371562096820563,0.8358973557799563,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_53374,Streptophyta,2,0.7822061802578091,0.678677795124761,0.9509321248004885,0.65,"batch_01_OE11-3-POS,batch_03_OE23-POS",Viridiplantae
A15_87428,Streptophyta,2,0.7821571654765271,0.6123438384017568,0.8280888857727768,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_7370,Streptophyta,2,0.7821445555508295,0.7483302710173256,0.6128935116163174,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_220041,Streptophyta,2,0.7821074770370461,0.6662194820809201,0.9142459878076428,0.6785714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_115103,Streptophyta,2,0.7820889684466181,0.7142124596583813,0.6162703750111749,1.0,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_202314,Streptophyta,2,0.7820244261850386,0.6391599013245919,0.8362351653442711,0.75,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
A15_58407,Streptophyta,2,0.7820151034287675,0.6441959444251246,0.7529232169596143,0.8285714285714285,"batch_01_OE11-3-POS,batch_02_OE21-4-POS",Viridiplantae
A15_167852,Streptophyta,2,0.7818053973528304,0.7089032533919268,0.6774114836889941,0.9285714285714286,"batch_02_OE21-4-POS,batch_03_OE23-POS",Viridiplantae
