feature_id,batch,component,propagated_label,family_size,annotated_members,agreement,round,phylum,kingdom
NEG_100424,OE23-NEG,52,DGDG,3,1,1.0,1,Chlorophyta,Plantae
NEG_105698,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_105756,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106061,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106446,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106492,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106532,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106747,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106776,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106777,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_106931,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107078,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107079,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107131,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107163,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107265,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107282,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107324,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107487,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107552,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107553,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107598,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107696,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107697,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107698,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_107816,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_108251,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_108520,OE23-NEG,626,PS,28,1,1.0,1,Nematoda,Animalia
NEG_113888,OE23-NEG,178,CL,6,1,1.0,1,Arthropoda,Animalia
NEG_113996,OE23-NEG,178,CL,6,1,1.0,1,Arthropoda,Animalia
NEG_114027,OE23-NEG,178,CL,6,1,1.0,1,Arthropoda,Animalia
NEG_115158,OE23-NEG,178,CL,6,1,1.0,1,Arthropoda,Animalia
NEG_116155,OE23-NEG,178,CL,6,1,1.0,1,Arthropoda,Animalia
