feature_id,batch,component,propagated_label,family_size,annotated_members,agreement,round,phylum,kingdom
A15_35648,OE23-POS,1801,Prenol lipids,2,1,1.0,1,Mollusca,Animalia
A15_52102,ALL-25-2-POS,841,Prenol lipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_83238,ALL-25-2-POS,94,Prenol lipids,3,2,1.0,1,Actinomycetota,Bacteria
A15_1267,ALL-25-2-POS,1811,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_108380,OE23-POS,208,Sphingolipids,5,1,1.0,1,Nematoda,Animalia
A15_108381,OE23-POS,208,Sphingolipids,5,1,1.0,1,Nematoda,Animalia
A15_108382,OE23-POS,208,Sphingolipids,5,1,1.0,1,Nematoda,Animalia
A15_44903,OE23-POS,208,Sphingolipids,5,1,1.0,1,Nematoda,Animalia
A15_40722,ALL-25-2-POS,209,Glycerophospholipids|Sphingolipids,2,1,1.0,1,Basidiomycota,Fungi
A15_30374,ALL-25-2-POS,733,Glycerolipids,4,2,0.5,1,Bacillota,Bacteria
A15_103381,ALL-25-2-POS,733,Glycerolipids,4,2,0.5,1,Bacillota,Bacteria
A15_110194,OE11-3-POS,451,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_112516,ALL-25-2-POS,248,Betaine lipids,2,1,1.0,1,Bacillota,Bacteria
A15_45569,OE23-POS,3567,Glycerophospholipids,2,1,1.0,1,Arthropoda,Animalia
A15_22372,ALL-25-2-POS,876,Glycerolipids,2,1,1.0,1,Actinomycetota,Bacteria
A15_161931,OE23-POS,633,Glycerophospholipids,8,3,1.0,1,Nematoda,Animalia
A15_195194,OE23-POS,633,Glycerophospholipids,8,3,1.0,1,Mollusca,Animalia
A15_205611,OE23-POS,633,Glycerophospholipids,8,3,1.0,1,Mollusca,Animalia
A15_195195,OE23-POS,633,Glycerophospholipids,8,3,1.0,1,Mollusca,Animalia
A15_199269,OE23-POS,633,Glycerophospholipids,8,3,1.0,1,Mollusca,Animalia
A15_58655,ALL-25-2-POS,84,Glycerolipids,2,1,1.0,1,Streptophyta,Viridiplantae
A15_79846,OE11-3-POS,136,Glycerophospholipids,2,1,1.0,1,Ascomycota,Fungi
A15_86729,ALL-25-2-POS,765,Glycerolipids,2,1,1.0,1,Bacillota,Bacteria
A15_100210,ALL-25-2-POS,10327,Glycerophospholipids,2,1,1.0,1,Bacillota,Bacteria
A15_61248,OE23-POS,561,Glycerophospholipids|Sphingolipids,4,1,1.0,1,Mollusca,Animalia
A15_71482,OE23-POS,561,Glycerophospholipids|Sphingolipids,4,1,1.0,1,Mollusca,Animalia
A15_67580,OE23-POS,561,Glycerophospholipids|Sphingolipids,4,1,1.0,1,Arthropoda,Animalia
A15_62329,OE23-POS,1046,Prenol lipids,5,2,0.5,1,Arthropoda,Animalia
A15_46416,OE23-POS,1046,Prenol lipids,5,2,0.5,1,Mollusca,Animalia
A15_81023,OE23-POS,1046,Prenol lipids,5,2,0.5,1,Mollusca,Animalia
A15_148446,ALL-25-2-POS,139,Glycerolipids,3,2,1.0,1,Bacillota,Bacteria
