true_group,Bacteria,Archaea,Fungi,Plantae,Animalia,Protozoa
Bacteria,71.6,0.0,8.5,4.4,8.0,7.5
Archaea,0.0,57.9,0.0,0.0,0.0,0.0
Fungi,8.3,0.1,67.7,15.2,3.7,4.9
Plantae,4.2,0.0,16.4,70.0,5.2,4.1
Animalia,10.8,0.0,23.3,9.7,41.3,14.8
Protozoa,8.8,0.0,8.4,3.3,2.4,77.0
